ticker,fiscal_date_ending,reported_date,reported_eps,estimated_eps,surprise,surprise_percentage,source,availability_date,point_in_time_usable,provider,validation_note
C,2023-03-31,2023-04-14,1.86,1.7,0.16,9.4118,AlphaVantage EARNINGS quarterlyEarnings,2023-04-14,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
C,2022-12-31,2023-01-13,1.16,1.21,-0.05,-4.1322,AlphaVantage EARNINGS quarterlyEarnings,2023-01-13,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
C,2022-09-30,2022-10-14,1.63,1.43,0.2,13.986,AlphaVantage EARNINGS quarterlyEarnings,2022-10-14,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
C,2022-06-30,2022-07-15,2.3,1.67,0.63,37.7246,AlphaVantage EARNINGS quarterlyEarnings,2022-07-15,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
C,2022-03-31,2022-04-14,2.02,1.41,0.61,43.2624,AlphaVantage EARNINGS quarterlyEarnings,2022-04-14,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
C,2021-12-31,2022-01-14,1.46,1.63,-0.17,-10.4294,AlphaVantage EARNINGS quarterlyEarnings,2022-01-14,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
C,2021-09-30,2021-10-14,2.15,1.79,0.36,20.1117,AlphaVantage EARNINGS quarterlyEarnings,2021-10-14,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
C,2021-06-30,2021-07-14,2.84,1.89,0.95,50.2646,AlphaVantage EARNINGS quarterlyEarnings,2021-07-14,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
C,2021-03-31,2021-04-15,3.62,2.53,1.09,43.083,AlphaVantage EARNINGS quarterlyEarnings,2021-04-15,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
C,2020-12-31,2021-01-15,2.07,1.31,0.76,58.0153,AlphaVantage EARNINGS quarterlyEarnings,2021-01-15,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
C,2020-09-30,2020-10-13,1.4,0.87,0.53,60.9195,AlphaVantage EARNINGS quarterlyEarnings,2020-10-13,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
C,2020-06-30,2020-07-14,0.51,0.32,0.19,59.375,AlphaVantage EARNINGS quarterlyEarnings,2020-07-14,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
C,2020-03-31,2020-04-15,1.06,1.57,-0.51,-32.4841,AlphaVantage EARNINGS quarterlyEarnings,2020-04-15,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
C,2019-12-31,2020-01-14,1.9,1.8,0.1,5.5556,AlphaVantage EARNINGS quarterlyEarnings,2020-01-14,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
C,2019-09-30,2019-10-15,1.97,1.95,0.02,1.0256,AlphaVantage EARNINGS quarterlyEarnings,2019-10-15,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
C,2019-06-30,2019-07-15,1.83,1.81,0.02,1.105,AlphaVantage EARNINGS quarterlyEarnings,2019-07-15,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
C,2019-03-31,2019-04-15,1.87,1.79,0.08,4.4693,AlphaVantage EARNINGS quarterlyEarnings,2019-04-15,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
C,2018-12-31,2019-01-14,1.61,1.55,0.06,3.871,AlphaVantage EARNINGS quarterlyEarnings,2019-01-14,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
C,2018-09-30,2018-10-12,1.73,1.66,0.07,4.2169,AlphaVantage EARNINGS quarterlyEarnings,2018-10-12,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
C,2018-06-30,2018-07-13,1.63,1.56,0.07,4.4872,AlphaVantage EARNINGS quarterlyEarnings,2018-07-13,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
C,2018-03-31,2018-04-13,1.68,1.6,0.08,5.0,AlphaVantage EARNINGS quarterlyEarnings,2018-04-13,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
C,2017-12-31,2018-01-16,1.2,1.19,0.01,0.8403,AlphaVantage EARNINGS quarterlyEarnings,2018-01-16,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
