ticker,fiscal_date_ending,reported_date,availability_date,point_in_time_usable,provider,eps_surprise,eps_surprise_pct,positive_surprise_flag,negative_surprise_flag,surprise_magnitude_abs,trailing_4q_avg_surprise_pct,trailing_4q_positive_surprise_rate,trailing_8q_avg_surprise_pct,surprise_acceleration,days_since_last_earnings,earnings_event_recency_bucket,estimate_revision_proxy
CRM,2007-01-31,2007-02-21,2007-02-21,True,alpha_vantage,0.0,0.0,0,0,0.0,50.0,0.5,28.571429,-100.0,98,0,
CRM,2007-04-30,2007-05-16,2007-05-16,True,alpha_vantage,0.0,0.0,0,0,0.0,50.0,0.5,25.0,0.0,84,0,
CRM,2007-07-31,2007-08-15,2007-08-15,True,alpha_vantage,0.0,0.0,0,0,0.0,50.0,0.5,25.0,0.0,91,0,
CRM,2007-10-31,2007-11-15,2007-11-15,True,alpha_vantage,0.0,0.0,0,0,0.0,25.0,0.25,25.0,0.0,92,0,
CRM,2008-01-31,2008-02-27,2008-02-27,True,alpha_vantage,0.0,0.0,0,0,0.0,0.0,0.0,25.0,0.0,104,0,
CRM,2008-04-30,2008-05-21,2008-05-21,True,alpha_vantage,0.0,0.0,0,0,0.0,0.0,0.0,25.0,0.0,84,0,
CRM,2008-07-31,2008-08-20,2008-08-20,True,alpha_vantage,-0.01,-20.0,0,1,0.01,0.0,0.0,25.0,-20.0,91,0,
CRM,2008-10-31,2008-11-20,2008-11-20,True,alpha_vantage,0.01,25.0,1,0,0.01,-5.0,0.0,10.0,45.0,92,0,
CRM,2009-01-31,2009-02-25,2009-02-25,True,alpha_vantage,0.01,20.0,1,0,0.01,1.25,0.25,0.625,-5.0,97,0,
CRM,2009-04-30,2009-05-21,2009-05-21,True,alpha_vantage,0.0,0.0,0,0,0.0,6.25,0.5,3.125,-20.0,85,0,
CRM,2009-07-31,2009-08-20,2009-08-20,True,alpha_vantage,0.0,0.0,0,0,0.0,6.25,0.5,3.125,0.0,91,0,
CRM,2009-10-31,2009-11-17,2009-11-17,True,alpha_vantage,0.0,0.0,0,0,0.0,11.25,0.5,3.125,0.0,89,0,
CRM,2010-01-31,2010-02-24,2010-02-24,True,alpha_vantage,0.0,0.0,0,0,0.0,5.0,0.25,3.125,0.0,99,0,
CRM,2010-04-30,2010-05-20,2010-05-20,True,alpha_vantage,0.0,0.0,0,0,0.0,0.0,0.0,3.125,0.0,85,0,
CRM,2010-07-31,2010-08-19,2010-08-19,True,alpha_vantage,0.0,0.0,0,0,0.0,0.0,0.0,3.125,0.0,91,0,
CRM,2010-10-31,2010-11-18,2010-11-18,True,alpha_vantage,0.0,0.0,0,0,0.0,0.0,0.0,5.625,0.0,91,0,
CRM,2011-01-31,2011-02-24,2011-02-24,True,alpha_vantage,0.01,14.2857,1,0,0.01,0.0,0.0,2.5,14.2857,98,0,
CRM,2011-04-30,2011-05-19,2011-05-19,True,alpha_vantage,0.0,0.0,0,0,0.0,3.571425,0.25,1.785713,-14.2857,84,0,
CRM,2011-07-31,2011-08-18,2011-08-18,True,alpha_vantage,0.01,14.2857,1,0,0.01,3.571425,0.25,1.785713,14.2857,91,0,
CRM,2011-10-31,2011-11-17,2011-11-17,True,alpha_vantage,0.01,12.5,1,0,0.01,7.14285,0.5,3.571425,-1.7857,91,0,
CRM,2012-01-31,2012-02-23,2012-02-23,True,alpha_vantage,0.01,10.0,1,0,0.01,10.26785,0.75,5.133925,-2.5,98,0,
CRM,2012-04-30,2012-05-17,2012-05-17,True,alpha_vantage,0.0,0.0,0,0,0.0,9.196425,0.75,6.383925,-10.0,84,0,
CRM,2012-07-31,2012-08-23,2012-08-23,True,alpha_vantage,0.01,10.0,1,0,0.01,9.196425,0.75,6.383925,10.0,98,0,
CRM,2012-10-31,2012-11-20,2012-11-20,True,alpha_vantage,0.0,0.0,0,0,0.0,8.125,0.75,7.633925,-10.0,89,0,
CRM,2013-01-31,2013-02-28,2013-02-28,True,alpha_vantage,0.03,30.0,1,0,0.03,5.0,0.5,7.633925,30.0,100,0,
CRM,2013-04-30,2013-05-23,2013-05-23,True,alpha_vantage,0.0,0.0,0,0,0.0,10.0,0.5,9.598213,-30.0,84,0,
CRM,2013-07-31,2013-08-29,2013-08-29,True,alpha_vantage,0.02,28.5714,1,0,0.02,10.0,0.5,9.598213,28.5714,98,0,
CRM,2013-10-31,2013-11-18,2013-11-18,True,alpha_vantage,0.0,0.0,0,0,0.0,14.64285,0.5,11.383925,-28.5714,81,0,
CRM,2014-01-31,2014-02-27,2014-02-27,True,alpha_vantage,0.01,16.6667,1,0,0.01,14.64285,0.5,9.821425,16.6667,101,0,
CRM,2014-04-30,2014-05-20,2014-05-20,True,alpha_vantage,0.01,10.0,1,0,0.01,11.309525,0.5,10.654763,-6.6667,82,0,
CRM,2014-07-31,2014-08-21,2014-08-21,True,alpha_vantage,0.01,8.3333,1,0,0.01,13.809525,0.75,11.904763,-1.6667,93,0,
CRM,2014-10-31,2014-11-19,2014-11-19,True,alpha_vantage,0.01,7.6923,1,0,0.01,8.75,0.75,11.696425,-0.641,90,0,
CRM,2015-01-31,2015-02-25,2015-02-25,True,alpha_vantage,0.0,0.0,0,0,0.0,10.673075,1.0,12.657963,-7.6923,98,0,
CRM,2015-04-30,2015-05-20,2015-05-20,True,alpha_vantage,0.02,14.2857,1,0,0.02,6.5064,0.75,8.907963,14.2857,84,0,
CRM,2015-07-31,2015-08-20,2015-08-20,True,alpha_vantage,0.02,11.7647,1,0,0.02,7.577825,0.75,10.693675,-2.521,92,0,
CRM,2015-10-31,2015-11-18,2015-11-18,True,alpha_vantage,0.02,10.5263,1,0,0.02,8.435675,0.75,8.592837,-1.2384,90,0,
CRM,2016-01-31,2016-02-24,2016-02-24,True,alpha_vantage,0.0,0.0,0,0,0.0,9.144175,0.75,9.908625,-10.5263,98,0,
CRM,2016-04-30,2016-05-18,2016-05-18,True,alpha_vantage,0.01,4.3478,1,0,0.01,9.144175,0.75,7.825287,4.3478,84,0,
CRM,2016-07-31,2016-08-31,2016-08-31,True,alpha_vantage,0.02,9.0909,1,0,0.02,6.6597,0.75,7.118762,4.7431,105,0,
CRM,2016-10-31,2016-11-17,2016-11-17,True,alpha_vantage,0.03,14.2857,1,0,0.03,5.99125,0.75,7.213463,5.1948,78,0,
CRM,2017-01-31,2017-02-28,2017-02-28,True,alpha_vantage,0.03,12.0,1,0,0.03,6.9311,0.75,8.037638,-2.2857,103,0,
CRM,2017-04-30,2017-05-18,2017-05-18,True,alpha_vantage,0.02,7.6923,1,0,0.02,9.9311,1.0,9.537638,-4.3077,79,0,
CRM,2017-07-31,2017-08-22,2017-08-22,True,alpha_vantage,0.01,3.125,1,0,0.01,10.767225,1.0,8.713463,-4.5673,96,0,
CRM,2017-10-31,2017-11-21,2017-11-21,True,alpha_vantage,0.02,5.4054,1,0,0.02,9.27575,1.0,7.6335,2.2804,91,0,
CRM,2018-01-31,2018-02-28,2018-02-28,True,alpha_vantage,0.01,2.9412,1,0,0.01,7.055675,1.0,6.993387,-2.4642,99,0,
CRM,2018-04-30,2018-05-29,2018-05-29,True,alpha_vantage,0.28,60.8696,1,0,0.28,4.790975,1.0,7.361038,57.9284,90,0,
CRM,2018-07-31,2018-08-29,2018-08-29,True,alpha_vantage,0.24,51.0638,1,0,0.24,18.0853,1.0,14.426262,-9.8058,92,0,
CRM,2018-10-31,2018-11-27,2018-11-27,True,alpha_vantage,0.11,22.0,1,0,0.11,30.07,1.0,19.672875,-29.0638,90,0,
CRM,2019-01-31,2019-03-04,2019-03-04,True,alpha_vantage,0.15,27.2727,1,0,0.15,34.21865,1.0,20.637162,5.2727,97,0,
CRM,2019-04-30,2019-06-04,2019-06-04,True,alpha_vantage,0.32,52.459,1,0,0.32,40.301525,1.0,22.54625,25.1863,92,0,
CRM,2019-07-31,2019-08-22,2019-08-22,True,alpha_vantage,0.19,40.4255,1,0,0.19,38.198875,1.0,28.142087,-12.0335,79,0,
CRM,2019-10-31,2019-12-03,2019-12-03,True,alpha_vantage,0.09,13.6364,1,0,0.09,35.5393,1.0,32.80465,-26.7891,103,0,
CRM,2020-01-31,2020-02-25,2020-02-25,True,alpha_vantage,0.1,17.8571,1,0,0.1,33.4484,1.0,33.833525,4.2207,84,0,
CRM,2020-04-30,2020-05-28,2020-05-28,True,alpha_vantage,0.01,1.4493,1,0,0.01,31.0945,1.0,35.698012,-16.4078,93,0,
CRM,2020-07-31,2020-08-25,2020-08-25,True,alpha_vantage,0.77,114.9254,1,0,0.77,18.342075,1.0,28.270475,113.4761,89,0,
CRM,2020-10-31,2020-12-01,2020-12-01,True,alpha_vantage,0.99,132.0,1,0,0.99,36.96705,1.0,36.253175,17.0746,98,0,
CRM,2021-01-31,2021-02-25,2021-02-25,True,alpha_vantage,0.29,38.6667,1,0,0.29,66.55795,1.0,50.003175,-93.3333,86,0,
CRM,2021-04-30,2021-05-27,2021-05-27,True,alpha_vantage,0.33,37.5,1,0,0.33,71.76035,1.0,51.427425,-1.1667,91,0,
CRM,2021-07-31,2021-08-25,2021-08-25,True,alpha_vantage,0.55,59.1398,1,0,0.55,80.773025,1.0,49.55755,21.6398,90,0,
CRM,2021-10-31,2021-11-30,2021-11-30,True,alpha_vantage,0.35,38.0435,1,0,0.35,66.826625,1.0,51.896837,-21.0963,97,0,
CRM,2022-01-31,2022-03-01,2022-03-01,True,alpha_vantage,0.09,12.0,1,0,0.09,43.3375,1.0,54.947725,-26.0435,91,0,
CRM,2022-04-30,2022-05-31,2022-05-31,True,alpha_vantage,0.04,4.2553,1,0,0.04,36.670825,1.0,54.215587,-7.7447,91,0,
CRM,2022-07-31,2022-08-24,2022-08-24,True,alpha_vantage,0.16,15.534,1,0,0.16,28.35965,1.0,54.566338,11.2787,85,0,
CRM,2022-10-31,2022-11-30,2022-11-30,True,alpha_vantage,0.18,14.7541,1,0,0.18,17.4582,1.0,42.142412,-0.7799,98,0,
CRM,2023-01-31,2023-03-01,2023-03-01,True,alpha_vantage,0.32,23.5294,1,0,0.32,11.63585,1.0,27.486675,8.7753,91,0,
CRM,2023-04-30,2023-05-31,2023-05-31,True,alpha_vantage,0.08,4.9689,1,0,0.08,14.5182,1.0,25.594513,-18.5605,91,0,
CRM,2023-07-31,2023-08-30,2023-08-30,True,alpha_vantage,0.22,11.5789,1,0,0.22,14.6966,1.0,21.528125,6.61,91,0,
CRM,2023-10-31,2023-11-29,2023-11-29,True,alpha_vantage,0.05,2.4272,1,0,0.05,13.707825,1.0,15.583013,-9.1517,91,0,
CRM,2024-01-31,2024-02-28,2024-02-28,True,alpha_vantage,0.02,0.8811,1,0,0.02,10.6261,1.0,11.130975,-1.5461,91,0,
CRM,2024-04-30,2024-05-29,2024-05-29,True,alpha_vantage,0.07,2.9536,1,0,0.07,4.964025,1.0,9.741112,2.0725,91,0,
CRM,2024-07-31,2024-08-28,2024-08-28,True,alpha_vantage,0.2,8.4746,1,0,0.2,4.4602,1.0,9.5784,5.521,91,0,
CRM,2024-10-31,2024-12-03,2024-12-03,True,alpha_vantage,-0.04,-1.6327,0,1,0.04,3.684125,1.0,8.695975,-10.1073,97,0,
CRM,2025-01-31,2025-02-26,2025-02-26,True,alpha_vantage,0.17,6.5134,1,0,0.17,2.66915,0.75,6.647625,8.1461,85,0,
CRM,2025-04-30,2025-05-28,2025-05-28,True,alpha_vantage,0.03,1.1765,1,0,0.03,4.077225,0.75,4.520625,-5.3369,91,0,
CRM,2025-07-31,2025-09-03,2025-09-03,True,alpha_vantage,0.13,4.6763,1,0,0.13,3.63295,0.75,4.046575,3.4998,98,0,
CRM,2025-10-31,2025-12-03,2025-12-03,True,alpha_vantage,0.57,35.1852,1,0,0.57,2.683375,0.75,3.18375,30.5089,91,0,
CRM,2026-01-31,2026-02-25,2026-02-25,True,alpha_vantage,0.76,24.918,1,0,0.76,11.88785,1.0,7.2785,-10.2672,84,0,
CRM,2026-04-30,2026-05-27,2026-05-27,True,alpha_vantage,0.75,23.9617,1,0,0.75,16.489,1.0,10.283112,-0.9563,91,0,
CSCO,1996-04-30,1996-05-09,1996-05-09,True,alpha_vantage,0.0,0.0,0,0,0.0,,,,,,0,
CSCO,1996-07-31,1996-08-15,1996-08-15,True,alpha_vantage,0.01,25.0,1,0,0.01,0.0,0.0,0.0,25.0,98,0,
CSCO,1996-10-31,1996-11-05,1996-11-05,True,alpha_vantage,0.0,0.0,0,0,0.0,12.5,0.5,12.5,-25.0,82,0,
CSCO,1997-01-31,1997-02-04,1997-02-04,True,alpha_vantage,0.0,0.0,0,0,0.0,8.333333,0.3333,8.333333,0.0,91,0,
CSCO,1997-04-30,1997-05-06,1997-05-06,True,alpha_vantage,0.0,0.0,0,0,0.0,6.25,0.25,6.25,0.0,91,0,
CSCO,1997-07-31,1997-08-05,1997-08-05,True,alpha_vantage,0.0,0.0,0,0,0.0,6.25,0.25,5.0,0.0,91,0,
CSCO,1997-10-31,1997-11-04,1997-11-04,True,alpha_vantage,0.01,16.6667,1,0,0.01,0.0,0.0,4.166667,16.6667,91,0,
CSCO,1998-01-31,1998-02-03,1998-02-03,True,alpha_vantage,0.0,0.0,0,0,0.0,4.166675,0.25,5.952386,-16.6667,91,0,
CSCO,1998-04-30,1998-05-05,1998-05-05,True,alpha_vantage,0.01,14.2857,1,0,0.01,4.166675,0.25,5.208337,14.2857,91,0,
CSCO,1998-07-31,1998-08-04,1998-08-04,True,alpha_vantage,0.0,0.0,0,0,0.0,7.7381,0.5,6.99405,-14.2857,91,0,
CSCO,1998-10-31,1998-11-04,1998-11-04,True,alpha_vantage,0.01,12.5,1,0,0.01,7.7381,0.5,3.86905,12.5,92,0,
CSCO,1999-01-31,1999-02-02,1999-02-02,True,alpha_vantage,0.01,11.1111,1,0,0.01,6.696425,0.5,5.43155,-1.3889,90,0,
CSCO,1999-04-30,1999-05-11,1999-05-11,True,alpha_vantage,0.01,11.1111,1,0,0.01,9.4742,0.75,6.820437,0.0,98,0,
CSCO,1999-07-31,1999-08-10,1999-08-10,True,alpha_vantage,0.01,10.0,1,0,0.01,8.68055,0.75,8.209325,-1.1111,91,0,
CSCO,1999-10-31,1999-11-09,1999-11-09,True,alpha_vantage,0.01,9.0909,1,0,0.01,11.18055,1.0,9.459325,-0.9091,91,0,
CSCO,2000-01-31,2000-02-08,2000-02-08,True,alpha_vantage,0.0,0.0,0,0,0.0,10.328275,1.0,8.51235,-9.0909,91,0,
CSCO,2000-04-30,2000-05-09,2000-05-09,True,alpha_vantage,0.01,7.6923,1,0,0.01,7.5505,0.75,8.51235,7.6923,91,0,
CSCO,2000-07-31,2000-08-08,2000-08-08,True,alpha_vantage,0.01,6.6667,1,0,0.01,6.6958,0.75,7.688175,-1.0256,91,0,
CSCO,2000-10-31,2000-11-06,2000-11-06,True,alpha_vantage,0.01,5.8824,1,0,0.01,5.862475,0.75,8.521513,-0.7843,90,0,
CSCO,2001-01-31,2001-02-06,2001-02-06,True,alpha_vantage,-0.01,-5.2632,0,1,0.01,5.06035,0.75,7.694312,-11.1456,92,0,
