event_timestamp,point_in_time_available_at,ticker,fiscal_period,estimate_type,old_value,new_value,revision_direction,revision_magnitude,analyst_count,consensus_change,provider_id,raw_payload_path
2009-08-04,2009-08-04,MDLZ,2009-06-30,eps_surprise_acceleration_proxy,,,down,-8.7963,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2009-11-03,2009-11-03,MDLZ,2009-09-30,eps_surprise_acceleration_proxy,,,up,10.8796,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2010-02-16,2010-02-16,MDLZ,2009-12-31,eps_surprise_acceleration_proxy,,,down,-7.9166,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2010-05-06,2010-05-06,MDLZ,2010-03-31,eps_surprise_acceleration_proxy,,,up,4.6969,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2010-08-05,2010-08-05,MDLZ,2010-06-30,eps_surprise_acceleration_proxy,,,up,4.021,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2010-11-04,2010-11-04,MDLZ,2010-09-30,eps_surprise_acceleration_proxy,,,down,-13.2107,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2011-02-10,2011-02-10,MDLZ,2010-12-31,eps_surprise_acceleration_proxy,,,down,-4.3016,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2011-05-05,2011-05-05,MDLZ,2011-03-31,eps_surprise_acceleration_proxy,,,up,12.766,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2011-08-04,2011-08-04,MDLZ,2011-06-30,eps_surprise_acceleration_proxy,,,down,-3.7417,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2011-11-02,2011-11-02,MDLZ,2011-09-30,eps_surprise_acceleration_proxy,,,down,-1.4421,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2012-02-21,2012-02-21,MDLZ,2011-12-31,eps_surprise_acceleration_proxy,,,down,-5.4545,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2012-05-03,2012-05-03,MDLZ,2012-03-31,eps_surprise_acceleration_proxy,,,up,1.7857,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2012-08-02,2012-08-02,MDLZ,2012-06-30,eps_surprise_acceleration_proxy,,,up,1.2446,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2012-11-07,2012-11-07,MDLZ,2012-09-30,eps_surprise_acceleration_proxy,,,down,-3.0303,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2013-02-13,2013-02-13,MDLZ,2012-12-31,eps_surprise_acceleration_proxy,,,down,-5.2632,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2013-05-07,2013-05-07,MDLZ,2013-03-31,eps_surprise_acceleration_proxy,,,up,5.2632,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2013-08-07,2013-08-07,MDLZ,2013-06-30,eps_surprise_acceleration_proxy,,,up,8.8235,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2013-11-06,2013-11-06,MDLZ,2013-09-30,eps_surprise_acceleration_proxy,,,down,-6.3235,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2014-02-12,2014-02-12,MDLZ,2013-12-31,eps_surprise_acceleration_proxy,,,down,-7.0455,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2014-05-07,2014-05-07,MDLZ,2014-03-31,eps_surprise_acceleration_proxy,,,up,15.9741,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2014-08-06,2014-08-06,MDLZ,2014-06-30,eps_surprise_acceleration_proxy,,,down,-8.8645,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2014-11-05,2014-11-05,MDLZ,2014-09-30,eps_surprise_acceleration_proxy,,,up,25.641,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2015-02-11,2015-02-11,MDLZ,2014-12-31,eps_surprise_acceleration_proxy,,,down,-18.9028,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2015-04-29,2015-04-29,MDLZ,2015-03-31,eps_surprise_acceleration_proxy,,,down,-1.4076,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2015-07-30,2015-07-30,MDLZ,2015-06-30,eps_surprise_acceleration_proxy,,,up,12.6181,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2015-10-28,2015-10-28,MDLZ,2015-09-30,eps_surprise_acceleration_proxy,,,down,-18.0738,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2016-02-03,2016-02-03,MDLZ,2015-12-31,eps_surprise_acceleration_proxy,,,down,-6.6057,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2016-04-27,2016-04-27,MDLZ,2016-03-31,eps_surprise_acceleration_proxy,,,up,27.2436,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2016-07-27,2016-07-27,MDLZ,2016-06-30,eps_surprise_acceleration_proxy,,,down,-13.0769,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2016-10-26,2016-10-26,MDLZ,2016-09-30,eps_surprise_acceleration_proxy,,,up,10.9302,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2017-02-07,2017-02-07,MDLZ,2016-12-31,eps_surprise_acceleration_proxy,,,down,-25.0118,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2017-05-02,2017-05-02,MDLZ,2017-03-31,eps_surprise_acceleration_proxy,,,up,10.0816,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2017-08-02,2017-08-02,MDLZ,2017-06-30,eps_surprise_acceleration_proxy,,,up,0.6667,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2017-10-30,2017-10-30,MDLZ,2017-09-30,eps_surprise_acceleration_proxy,,,down,-1.1111,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2018-01-31,2018-01-31,MDLZ,2017-12-31,eps_surprise_acceleration_proxy,,,down,-3.7699,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2018-05-01,2018-05-01,MDLZ,2018-03-31,eps_surprise_acceleration_proxy,,,down,-0.1464,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2018-07-25,2018-07-25,MDLZ,2018-06-30,eps_surprise_acceleration_proxy,,,up,2.0644,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2018-10-29,2018-10-29,MDLZ,2018-09-30,eps_surprise_acceleration_proxy,,,down,-0.3704,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2019-01-30,2019-01-30,MDLZ,2018-12-31,eps_surprise_acceleration_proxy,,,down,-3.3333,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2019-04-30,2019-04-30,MDLZ,2019-03-31,eps_surprise_acceleration_proxy,,,up,6.5574,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2019-07-30,2019-07-30,MDLZ,2019-06-30,eps_surprise_acceleration_proxy,,,down,-6.5574,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2019-10-29,2019-10-29,MDLZ,2019-09-30,eps_surprise_acceleration_proxy,,,up,6.6667,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2020-01-29,2020-01-29,MDLZ,2019-12-31,eps_surprise_acceleration_proxy,,,down,-5.0,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2020-04-28,2020-04-28,MDLZ,2020-03-31,eps_surprise_acceleration_proxy,,,up,2.8788,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2020-07-28,2020-07-28,MDLZ,2020-06-30,eps_surprise_acceleration_proxy,,,up,7.9545,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2020-11-02,2020-11-02,MDLZ,2020-09-30,eps_surprise_acceleration_proxy,,,down,-10.8871,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2021-01-28,2021-01-28,MDLZ,2020-12-31,eps_surprise_acceleration_proxy,,,down,-1.6129,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2021-04-27,2021-04-27,MDLZ,2021-03-31,eps_surprise_acceleration_proxy,,,up,11.5942,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2021-07-27,2021-07-27,MDLZ,2021-06-30,eps_surprise_acceleration_proxy,,,down,-10.0557,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2021-11-02,2021-11-02,MDLZ,2021-09-30,eps_surprise_acceleration_proxy,,,down,-0.1099,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2022-01-27,2022-01-27,MDLZ,2021-12-31,eps_surprise_acceleration_proxy,,,down,-4.1683,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2022-04-26,2022-04-26,MDLZ,2022-03-31,eps_surprise_acceleration_proxy,,,up,14.7397,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2022-07-26,2022-07-26,MDLZ,2022-06-30,eps_surprise_acceleration_proxy,,,down,-7.3125,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2022-11-01,2022-11-01,MDLZ,2022-09-30,eps_surprise_acceleration_proxy,,,up,2.5589,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2023-01-31,2023-01-31,MDLZ,2022-12-31,eps_surprise_acceleration_proxy,,,down,-2.9607,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2023-04-27,2023-04-27,MDLZ,2023-03-31,eps_surprise_acceleration_proxy,,,up,6.9643,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2023-07-27,2023-07-27,MDLZ,2023-06-30,eps_surprise_acceleration_proxy,,,down,-1.1051,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2023-11-01,2023-11-01,MDLZ,2023-09-30,eps_surprise_acceleration_proxy,,,down,-5.0167,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2024-01-30,2024-01-30,MDLZ,2023-12-31,eps_surprise_acceleration_proxy,,,up,3.9627,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2024-04-30,2024-04-30,MDLZ,2024-03-31,eps_surprise_acceleration_proxy,,,down,-2.3493,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2024-07-30,2024-07-30,MDLZ,2024-06-30,eps_surprise_acceleration_proxy,,,up,2.1192,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2024-10-29,2024-10-29,MDLZ,2024-09-30,eps_surprise_acceleration_proxy,,,up,7.6098,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2025-02-04,2025-02-04,MDLZ,2024-12-31,eps_surprise_acceleration_proxy,,,down,-16.4706,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2025-04-29,2025-04-29,MDLZ,2025-03-31,eps_surprise_acceleration_proxy,,,up,12.1212,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2025-07-29,2025-07-29,MDLZ,2025-06-30,eps_surprise_acceleration_proxy,,,down,-4.7683,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2025-10-28,2025-10-28,MDLZ,2025-09-30,eps_surprise_acceleration_proxy,,,down,-4.536,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
2026-02-03,2026-02-03,MDLZ,2025-12-31,eps_surprise_acceleration_proxy,,,up,0.0402,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
