date,ticker,is_bank,regime,fund_fiscal_period,fund_publish_date,fund_age_days,fund_stale,forward_excess_return_20d_vs_spy,gross_margin,operating_margin,net_margin,roa_ttm,revenue_growth_yoy,operating_income_growth_yoy,net_income_growth_yoy,debt_to_assets,liabilities_to_assets,equity_to_assets,current_ratio,cash_to_assets,ocf_to_assets,fcf_to_assets,earnings_yield_ttm,book_to_price,deposits_to_assets,loans_to_assets,quality_composite
2026-06-16,NFLX,False,risk_on,2025-Q1,2025-04-18,424,True,,0.500783,0.317468,0.274154,0.177965,0.125113,0.271398,0.239319,0.288301,0.538699,,1.203643,0.16071,0.053548,0.051085,0.026949,0.069854,,,0.742463
2026-06-16,NKE,False,risk_on,2025-Q4,2025-07-17,334,False,,0.402721,0.028927,0.019014,0.088001,-0.119705,-0.792367,-0.859333,0.217775,0.638782,,2.211054,0.250171,0.012658,0.009924,0.048362,0.198467,,,-0.662227
2026-06-16,NOC,False,risk_on,2025-Q1,2025-04-22,420,True,,0.166878,0.06052,0.050803,0.076566,-0.065627,-0.464986,-0.490466,0.292296,0.690848,,0.949746,0.034765,-0.032289,-0.037571,0.046463,0.187604,,,-1.126937
2026-06-16,NOW,False,risk_on,2025-Q1,2025-04-23,419,True,,0.789184,0.146049,0.148964,0.073336,0.186323,0.358434,0.325648,0.071047,0.516546,,1.122548,0.314562,0.079964,0.068568,0.014499,0.095581,,,0.392348
2026-06-16,NVDA,False,risk_on,2025-Q1,2025-05-28,384,False,,0.605238,0.491081,0.426104,0.612946,0.691829,0.279674,0.261676,0.067575,0.330616,,3.388403,0.428657,0.218867,0.208656,0.01504,0.016425,,,3.892627
2026-06-16,ORCL,False,risk_on,2025-Q4,2025-06-18,363,False,,0.70188,0.326416,0.215494,0.073907,0.11311,0.063948,0.090013,0.549819,0.875452,,0.572777,0.066542,0.03657,-0.017362,0.023021,0.038795,,,-0.232463
2026-06-16,ORLY,False,risk_on,2025-Q1,2025-05-09,403,True,,0.512817,0.179231,0.130166,0.155482,0.040411,-0.014638,-0.015995,0.369548,1.088758,,0.708473,0.012505,0.049374,0.030739,0.030339,-0.017319,,,-0.192258
2026-06-16,PANW,False,risk_on,2025-Q3,2025-05-21,391,False,,0.729445,0.095588,0.114504,0.056438,0.153265,0.238257,-0.0599,0.017416,0.671383,,0.942177,0.14999,0.028551,0.025465,0.006272,0.036517,,,-0.359712
2026-06-16,PEP,False,risk_on,2025-Q1,2025-04-24,418,True,,0.557676,0.144149,0.102349,0.0921,-0.018137,-0.049319,-0.101861,0.476896,0.817874,,0.834248,0.084355,-0.009564,-0.008266,0.046603,0.092156,,,-0.730906
2026-06-16,PFE,False,risk_on,2025-Q1,2025-05-05,407,True,,0.792563,0.322639,0.216405,0.037899,-0.078169,0.052819,-0.047191,0.298561,0.564294,,1.258189,0.083244,0.025511,0.0228,0.053024,0.609577,,,0.068973
