config,regime_axis,regime_label,n_months,mean_monthly_return,ann_vol,sharpe,note
u296:mom_6_1:top_quintile,risk_regime,risk_off,15,0.015933,0.265427,0.720339,diagnostic only; not used for selection or weighting
u296:mom_6_1:top_quintile,risk_regime,risk_on,98,0.024773,0.191515,1.55224,diagnostic only; not used for selection or weighting
u296:mom_6_1:top_quintile,vol_regime,high_vol,72,0.022786,0.217699,1.255999,diagnostic only; not used for selection or weighting
u296:mom_6_1:top_quintile,vol_regime,low_vol,36,0.026471,0.182135,1.744015,diagnostic only; not used for selection or weighting
u296:mom_6_1:top_quintile,trend_regime,above_trend,90,0.018435,0.180687,1.224321,diagnostic only; not used for selection or weighting
u296:mom_6_1:top_quintile,trend_regime,below_trend,20,0.047769,0.278049,2.061609,diagnostic only; not used for selection or weighting
u296:mom_6_1:top_quintile,inflation_regime,disinflation,51,0.02833,0.19023,1.787102,diagnostic only; not used for selection or weighting
u296:mom_6_1:top_quintile,inflation_regime,inflation_up,62,0.019709,0.21124,1.119594,diagnostic only; not used for selection or weighting
u296:mom_6_1:top_quintile,rates_regime,rates_down,47,0.035832,0.205272,2.094689,diagnostic only; not used for selection or weighting
u296:mom_6_1:top_quintile,rates_regime,rates_up,66,0.014889,0.195075,0.915891,diagnostic only; not used for selection or weighting
u296:mom_6_1:top_quintile,dollar_regime,dollar_down,53,0.023309,0.202518,1.381125,diagnostic only; not used for selection or weighting
u296:mom_6_1:top_quintile,dollar_regime,dollar_up,60,0.023857,0.202672,1.412536,diagnostic only; not used for selection or weighting
u296:mom_riskadj:top_decile,risk_regime,risk_off,15,0.013811,0.290635,0.570259,diagnostic only; not used for selection or weighting
u296:mom_riskadj:top_decile,risk_regime,risk_on,92,0.025276,0.203102,1.493421,diagnostic only; not used for selection or weighting
u296:mom_riskadj:top_decile,vol_regime,high_vol,72,0.020923,0.224756,1.117094,diagnostic only; not used for selection or weighting
u296:mom_riskadj:top_decile,vol_regime,low_vol,35,0.029319,0.199277,1.765513,diagnostic only; not used for selection or weighting
u296:mom_riskadj:top_decile,trend_regime,above_trend,87,0.018821,0.185856,1.215225,diagnostic only; not used for selection or weighting
u296:mom_riskadj:top_decile,trend_regime,below_trend,20,0.044757,0.312443,1.718985,diagnostic only; not used for selection or weighting
u296:mom_riskadj:top_decile,inflation_regime,disinflation,50,0.02651,0.212985,1.4936,diagnostic only; not used for selection or weighting
