ticker,source_family,outcome,value
DAL,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
DAL,eodhd_raw_fundamentals(General.GicSector),HIT,Industrials
DASH,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
DASH,eodhd_raw_fundamentals(General.GicSector),HIT,Consumer Discretionary
DB,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
DB,eodhd_raw_fundamentals(General.GicSector),HIT,Financials
DD,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
DD,eodhd_raw_fundamentals(General.GicSector),HIT,Materials
DDOG,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
DDOG,eodhd_raw_fundamentals(General.GicSector),HIT,Information Technology
DECK,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
DECK,eodhd_raw_fundamentals(General.GicSector),HIT,Consumer Discretionary
DELL,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
DELL,eodhd_raw_fundamentals(General.GicSector),HIT,Information Technology
DG,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
DG,eodhd_raw_fundamentals(General.GicSector),HIT,Consumer Staples
DGX,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
DGX,eodhd_raw_fundamentals(General.GicSector),HIT,Health Care
DHI,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
DHI,eodhd_raw_fundamentals(General.GicSector),HIT,Consumer Discretionary
DHR,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
DHR,eodhd_raw_fundamentals(General.GicSector),HIT,Health Care
DLR,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
DLR,eodhd_raw_fundamentals(General.GicSector),HIT,Real Estate
DLTR,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
DLTR,eodhd_raw_fundamentals(General.GicSector),HIT,Consumer Staples
DOC,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
DOC,eodhd_raw_fundamentals(General.GicSector),HIT,Real Estate
