ticker,review_label,sector,unknown_sector,low_liquidity,missing_leg,extreme_score,cohort,is_new_cohort,in_concentrated_sector
HUBB,HOLD,Industrials,False,True,False,False,new,True,False
ADM,HOLD,Consumer Staples,False,False,False,False,new,True,False
SCHW,HOLD,Financials,False,False,False,False,old,False,False
CMI,HOLD,Industrials,False,False,False,False,old,False,False
CI,HOLD,Health Care,False,False,False,False,old,False,False
SATS,HOLD,Information Technology,False,True,False,False,new,True,False
SAP,HOLD,Information Technology,False,False,False,False,old,False,False
CP,HOLD,Industrials,False,False,False,False,old,False,False
MCD,HOLD,Consumer Discretionary,False,False,False,False,old,False,False
CPAY,HOLD,Financials,False,False,False,False,new,True,False
OKE,HOLD,Energy,False,False,False,False,new,True,False
AMX,HOLD,Communication Services,False,True,False,False,old,False,False
VALE,HOLD,Materials,False,False,False,False,old,False,False
ARM,SHORT,Information Technology,False,False,False,False,old,False,False
CNP,SHORT,Utilities,False,False,False,False,new,True,False
IBN,SHORT,Financials,False,True,False,False,old,False,False
MAR,SHORT,Consumer Discretionary,False,False,False,False,old,False,False
BEN,SHORT,Financials,False,True,False,False,new,True,False
STLD,SHORT,Materials,False,False,False,False,new,True,False
CBOE,SHORT,Financials,False,True,False,False,new,True,False
DECK,SHORT,Consumer Discretionary,False,False,False,False,new,True,False
FIS,SHORT,Financials,False,False,False,False,new,True,False
UNH,SHORT,Health Care,False,False,False,False,old,False,False
TDG,SHORT,Industrials,False,False,False,False,old,False,False
KLAC,SHORT,Information Technology,False,False,False,False,old,False,False
BNY,SHORT,Financials,False,False,False,False,old,False,False
CSCO,SHORT,Information Technology,False,False,False,False,old,False,False
BAC,SHORT,Financials,False,False,False,False,old,False,False
HD,SHORT,Consumer Discretionary,False,False,False,False,old,False,False
FE,SHORT,Utilities,False,False,False,False,new,True,False
NSC,SHORT,Industrials,False,False,False,False,old,False,False
LRCX,SHORT,Information Technology,False,False,False,False,old,False,False
CPRT,SHORT,Industrials,False,False,False,False,new,True,False
PTC,SHORT,Information Technology,False,True,False,False,new,True,False
E,SHORT,Energy,False,True,False,False,old,False,False
EG,SHORT,Financials,False,True,False,False,new,True,False
GM,SHORT,Consumer Discretionary,False,False,False,False,old,False,False
GSK,SHORT,Health Care,False,False,False,False,old,False,False
GEHC,SHORT,Health Care,False,False,False,False,new,True,False
BP,SHORT,Energy,False,False,False,False,old,False,False
LHX,SHORT,Industrials,False,False,False,False,new,True,False
IFNNY,SHORT,Information Technology,False,True,False,False,old,False,False
TAP,SHORT,Consumer Staples,False,True,False,False,new,True,False
BMY,SHORT,Health Care,False,False,False,False,old,False,False
Q,SHORT,Information Technology,False,False,False,False,new,True,False
BA,SHORT,Industrials,False,False,False,False,old,False,False
NKE,SHORT,Consumer Discretionary,False,False,False,False,old,False,False
BKR,SHORT,Energy,False,False,False,False,old,False,False
GS,SHORT,Financials,False,False,False,False,old,False,False
SWKS,SHORT,Information Technology,False,False,False,False,new,True,False
MPWR,SHORT,Information Technology,False,False,False,False,old,False,False
BX,SHORT,Financials,False,False,False,False,old,False,False
GOOG,SHORT,Communication Services,False,False,False,False,new,True,False
GOOGL,SHORT,Communication Services,False,False,False,False,old,False,False
RKLB,SHORT,Industrials,False,False,False,False,old,False,False
TTE,SHORT,Energy,False,True,False,False,old,False,False
SBUX,SHORT,Consumer Discretionary,False,False,False,False,old,False,False
BLK,SHORT,Financials,False,False,False,False,old,False,False
BABA,SHORT,Consumer Discretionary,False,False,False,False,old,False,False
PEP,SHORT,Consumer Staples,False,False,False,False,old,False,False
RL,SHORT,Consumer Discretionary,False,False,False,False,new,True,False
CTSH,SHORT,Information Technology,False,False,False,False,new,True,False
OXY,SHORT,Energy,False,False,False,False,new,True,False
NU,SHORT,Financials,False,False,False,False,old,False,False
NVO,SHORT,Health Care,False,False,False,False,old,False,False
GPC,SHORT,Consumer Discretionary,False,True,False,False,new,True,False
F,SHORT,Consumer Discretionary,False,False,False,False,old,False,False
NWS,SHORT,Communication Services,False,True,False,False,new,True,False
NWSA,SHORT,Communication Services,False,True,False,False,new,True,False
AXON,SHORT,Industrials,False,False,False,False,new,True,False
BG,SHORT,Consumer Staples,False,True,False,False,new,True,False
NCLH,SHORT,Consumer Discretionary,False,False,False,False,new,True,False
AMP,SHORT,Financials,False,False,False,False,new,True,False
SHW,SHORT,Materials,False,False,False,False,old,False,False
HSIC,SHORT,Health Care,False,True,False,False,new,True,False
MLM,SHORT,Materials,False,False,False,False,new,True,False
DIS,SHORT,Communication Services,False,False,False,False,old,False,False
LMT,SHORT,Industrials,False,False,False,False,old,False,False
SOLV,SHORT,Health Care,False,True,False,False,new,True,False
BSX,SHORT,Health Care,False,False,False,False,old,False,False
PPG,SHORT,Materials,False,False,False,False,new,True,False
HON,SHORT,Industrials,False,False,False,False,old,False,False
CVNA,SHORT,Consumer Discretionary,False,False,False,False,old,False,False
LII,SHORT,Industrials,False,True,False,False,new,True,False
PHM,SHORT,Consumer Discretionary,False,False,False,False,new,True,False
MRSH,SHORT,Financials,False,False,False,False,old,False,False
OMC,SHORT,Communication Services,False,False,False,False,new,True,False
TM,SHORT,Consumer Discretionary,False,True,False,False,old,False,False
EME,SHORT,Industrials,False,True,False,False,new,True,False
AMZN,SHORT,Consumer Discretionary,False,False,False,False,old,False,False
COHR,SHORT,Information Technology,False,False,False,False,old,False,False
SWK,SHORT,Industrials,False,False,False,False,new,True,False
WBD,SHORT,Communication Services,False,False,False,False,old,False,False
PNR,SHORT,Industrials,False,True,False,False,new,True,False
APTV,SHORT,Consumer Discretionary,False,False,False,False,new,True,False
BALL,SHORT,Materials,False,False,False,False,new,True,False
MKC,SHORT,Consumer Staples,False,False,False,False,new,True,False
CLX,SHORT,Consumer Staples,False,False,False,False,new,True,False
J,SHORT,Industrials,False,True,False,False,new,True,False
HII,SHORT,Industrials,False,True,False,False,new,True,False
CBRE,SHORT,Real Estate,False,False,False,False,new,True,False
PSKY,SHORT,Communication Services,False,False,False,False,new,True,False
FSLR,SHORT,Information Technology,False,False,False,False,new,True,False
PSX,SHORT,Energy,False,False,False,False,old,False,False
QCOM,SHORT,Information Technology,False,False,False,False,old,False,False
WDC,SHORT,Information Technology,False,False,False,True,old,False,False
MAS,SHORT,Industrials,False,True,False,True,new,True,False
NOC,SHORT,Industrials,False,False,False,True,old,False,False
CTVA,SHORT,Materials,False,False,False,True,new,True,False
ASML,SHORT,Information Technology,False,False,False,True,old,False,False
