side,rank_sn,ticker,comp_sn,comp_raw,sector,sector_is_unknown,sector_repaired,before_review_label,cohort,liquidity_proxy,review_status
LONG,77,ALGN,1.3425,1.69197,Health Care,False,True,LONG,new,238689219.89417,PAPER_REVIEW_ONLY
LONG,78,AVY,1.33899,1.70509,Materials,False,True,LONG,new,85376431.03185,PAPER_REVIEW_ONLY
LONG,79,GD,1.3121,1.30228,Industrials,False,False,LONG,old,256370060.30509,PAPER_REVIEW_ONLY
LONG,80,MNST,1.29485,1.03592,Consumer Staples,False,True,LONG,old,236069285.08957,PAPER_REVIEW_ONLY
LONG,81,MCK,1.29384,1.24203,Health Care,False,True,LONG,old,342493152.87244,PAPER_REVIEW_ONLY
LONG,82,RIO,1.27144,1.66007,Materials,False,True,LONG,old,137204265.01589,PAPER_REVIEW_ONLY
LONG,83,KO,1.25719,0.90763,Consumer Staples,False,False,HOLD,old,718095005.76864,PAPER_REVIEW_ONLY
LONG,84,IBM,1.24415,1.58215,Information Technology,False,False,HOLD,old,672251607.45112,PAPER_REVIEW_ONLY
LONG,85,DAL,1.23866,1.25571,Industrials,False,True,LONG,new,488197019.72262,PAPER_REVIEW_ONLY
LONG,86,SCCO,1.23795,1.58477,Materials,False,True,LONG,old,74326616.86486,PAPER_REVIEW_ONLY
LONG,87,TER,1.23432,1.54199,Information Technology,False,True,LONG,old,224910182.74848,PAPER_REVIEW_ONLY
LONG,88,IT,1.21754,1.53745,Information Technology,False,True,LONG,new,134733167.67005,PAPER_REVIEW_ONLY
LONG,89,PSA,1.20622,0.80019,Real Estate,False,True,HOLD,new,223824473.73512,PAPER_REVIEW_ONLY
LONG,90,INCY,1.20088,1.54907,Health Care,False,True,LONG,new,139363045.39251,PAPER_REVIEW_ONLY
LONG,91,NBIS,1.18845,1.53286,Information Technology,False,True,LONG,old,1308909597.79717,PAPER_REVIEW_ONLY
LONG,92,LYG,1.18016,0.69653,Financials,False,True,HOLD,old,25442168.72388,PAPER_REVIEW_ONLY
LONG,93,ALL,1.16849,0.69209,Financials,False,True,HOLD,new,222329898.70441,PAPER_REVIEW_ONLY
LONG,94,MUFG,1.1468,0.43959,Financials,False,True,HOLD,old,21112561.47904,PAPER_REVIEW_ONLY
LONG,95,APH,1.1442,1.46986,Information Technology,False,False,HOLD,old,292833541.80615,PAPER_REVIEW_ONLY
LONG,96,AAPL,1.08857,1.41307,Information Technology,False,False,LONG,old,9706746175.48209,PAPER_REVIEW_ONLY
LONG,97,DB,1.0757,0.63985,Financials,False,True,HOLD,old,54810598.49666,PAPER_REVIEW_ONLY
SHORT,387,ARM,-1.04243,-0.47677,Information Technology,False,True,HOLD,old,1121432655.25621,PAPER_REVIEW_ONLY
SHORT,388,CNP,-1.04965,-1.75215,Utilities,False,True,SHORT,new,133932446.55112,PAPER_REVIEW_ONLY
SHORT,389,IBN,-1.06575,-1.46888,Financials,False,True,SHORT,old,113348113.4529,PAPER_REVIEW_ONLY
SHORT,390,MAR,-1.0857,0.30173,Consumer Discretionary,False,False,HOLD,old,320705269.43211,PAPER_REVIEW_ONLY
SHORT,391,BEN,-1.10655,-1.50741,Financials,False,True,SHORT,new,99150523.32977,PAPER_REVIEW_ONLY
SHORT,392,STLD,-1.13492,-0.68924,Materials,False,True,HOLD,new,132798995.722,PAPER_REVIEW_ONLY
SHORT,393,CBOE,-1.14942,-1.61436,Financials,False,True,SHORT,new,112804329.66003,PAPER_REVIEW_ONLY
SHORT,394,DECK,-1.1666,0.22247,Consumer Discretionary,False,True,HOLD,new,643114738.29636,PAPER_REVIEW_ONLY
