model,horizon_days,fold,val_start,val_end,n_obs,n_dates,mean_rank_ic,median_rank_ic,std_rank_ic,information_ratio,fraction_dates_positive_ic,top_quintile_excess,bottom_quintile_excess,top_minus_bottom_spread,hit_rate_top_quintile,positive_spread_fraction,top_quintile_max_sector_share,turnover_proxy
MODEL_FREE_COMPOSITE_BASELINE,21,8,2023-04-06,2023-10-05,16128,126,0.018335,0.035441,0.187361,0.097861,0.611111,0.002462,0.000629,0.001833,0.482601,0.587302,0.20116,0.228308
RIDGE_LINEAR_RANK_MODEL,21,8,2023-04-06,2023-10-05,16128,126,0.046549,0.035908,0.127395,0.365386,0.587302,0.008217,-0.002809,0.011025,0.501832,0.626984,0.244505,0.140308
OPTIONAL_LOGISTIC_OUTPERFORMER,21,8,2023-04-06,2023-10-05,16128,126,0.015801,0.025808,0.112544,0.140396,0.587302,0.001247,0.000151,0.001097,0.450549,0.52381,0.290904,0.143077
MODEL_FREE_COMPOSITE_BASELINE,63,8,2023-04-06,2023-10-05,16128,126,-0.020275,-0.013679,0.154424,-0.131294,0.444444,0.004828,0.010459,-0.005631,0.495726,0.515873,0.20116,0.228308
RIDGE_LINEAR_RANK_MODEL,63,8,2023-04-06,2023-10-05,16128,126,0.189439,0.139738,0.14718,1.28713,0.952381,0.046019,-0.025058,0.071077,0.642857,0.960317,0.365385,0.112923
OPTIONAL_LOGISTIC_OUTPERFORMER,63,8,2023-04-06,2023-10-05,16128,126,0.138285,0.121664,0.097466,1.418807,0.968254,0.032304,-0.014465,0.046769,0.605922,0.888889,0.261905,0.123385
MODEL_FREE_COMPOSITE_BASELINE,5,9,2023-10-06,2024-04-08,16128,126,-0.00734,-0.002884,0.192924,-0.038048,0.5,0.000343,0.001156,-0.000812,0.490537,0.5,0.231685,0.238769
RIDGE_LINEAR_RANK_MODEL,5,9,2023-10-06,2024-04-08,16128,126,0.001819,0.006727,0.119423,0.01523,0.539683,-0.000362,-0.000645,0.000283,0.49359,0.468254,0.282051,0.268
OPTIONAL_LOGISTIC_OUTPERFORMER,5,9,2023-10-06,2024-04-08,16128,126,0.030894,0.039387,0.18041,0.171243,0.579365,0.002597,-0.000759,0.003356,0.540598,0.555556,0.291209,0.212
MODEL_FREE_COMPOSITE_BASELINE,21,9,2023-10-06,2024-04-08,16128,126,-0.024741,-0.057692,0.229215,-0.107936,0.396825,-0.000667,0.001287,-0.001954,0.470391,0.388889,0.231685,0.238769
RIDGE_LINEAR_RANK_MODEL,21,9,2023-10-06,2024-04-08,16128,126,0.015143,0.02893,0.105695,0.143273,0.611111,-0.001481,-0.005691,0.00421,0.479243,0.563492,0.221917,0.125846
OPTIONAL_LOGISTIC_OUTPERFORMER,21,9,2023-10-06,2024-04-08,16128,126,0.022022,0.045965,0.16038,0.137312,0.619048,0.003096,-0.001564,0.00466,0.505495,0.587302,0.28602,0.139385
MODEL_FREE_COMPOSITE_BASELINE,63,9,2023-10-06,2024-04-08,16128,126,0.039924,0.036304,0.105409,0.378751,0.642857,-0.001695,-0.019827,0.018132,0.465201,0.714286,0.231685,0.238769
RIDGE_LINEAR_RANK_MODEL,63,9,2023-10-06,2024-04-08,16128,126,0.053184,0.043321,0.06899,0.7709,0.769841,-0.005317,-0.035492,0.030175,0.450549,0.809524,0.22558,0.106154
OPTIONAL_LOGISTIC_OUTPERFORMER,63,9,2023-10-06,2024-04-08,16128,126,0.030395,0.019353,0.075586,0.402121,0.65873,-0.007542,-0.01608,0.008538,0.477717,0.579365,0.237485,0.117231
MODEL_FREE_COMPOSITE_BASELINE,5,10,2024-04-09,2024-10-07,16128,126,-0.007968,-0.035595,0.187435,-0.042511,0.420635,-0.001226,2.8e-05,-0.001254,0.473748,0.420635,0.196581,0.229846
RIDGE_LINEAR_RANK_MODEL,5,10,2024-04-09,2024-10-07,16128,126,0.01702,0.023608,0.160174,0.106261,0.539683,0.001583,-0.000814,0.002397,0.490232,0.52381,0.332112,0.245846
