model,horizon_days,fold,val_start,val_end,regime_label,n_obs,n_dates,mean_rank_ic,median_rank_ic,std_rank_ic,information_ratio,fraction_dates_positive_ic,top_quintile_excess,bottom_quintile_excess,top_minus_bottom_spread,hit_rate_top_quintile,positive_spread_fraction,top_quintile_max_sector_share,turnover_proxy,overlap_corrected_n_dates,overlap_corrected_mean_rank_ic
REFINED_RIDGE_LINEAR_RANK_MODEL,5,8,2023-04-06,2023-10-05,choppy_sideways,16128,126,0.009877,0.018048,0.110168,0.089651,0.587302,0.000835,0.000478,0.000356,0.493284,0.563492,0.208486,0.258769,,
LOGISTIC_OUTPERFORMER_BENCHMARK,5,8,2023-04-06,2023-10-05,choppy_sideways,16128,126,0.011435,0.019582,0.114355,0.099995,0.571429,0.001301,0.000814,0.000487,0.500305,0.52381,0.215201,0.248308,,
MODEL_FREE_COMPOSITE_BASELINE,21,9,2023-10-06,2024-04-08,risk_on_rally,16128,126,-0.024741,-0.057692,0.229215,-0.107936,0.396825,-0.000667,0.001287,-0.001954,0.470391,0.388889,0.231685,0.238769,,
REFINED_RIDGE_LINEAR_RANK_MODEL,21,9,2023-10-06,2024-04-08,risk_on_rally,16128,126,0.018047,0.031715,0.128314,0.140647,0.611111,0.001629,5.4e-05,0.001575,0.503053,0.5,0.231074,0.134462,,
LOGISTIC_OUTPERFORMER_BENCHMARK,21,9,2023-10-06,2024-04-08,risk_on_rally,16128,126,0.031687,0.046858,0.110564,0.286598,0.611111,0.003466,-0.002659,0.006125,0.510073,0.603175,0.223138,0.124308,,
MODEL_FREE_COMPOSITE_BASELINE,63,9,2023-10-06,2024-04-08,risk_on_rally,16128,126,0.039924,0.036304,0.105409,0.378751,0.642857,-0.001695,-0.019827,0.018132,0.465201,0.714286,0.231685,0.238769,2.0,0.000148
REFINED_RIDGE_LINEAR_RANK_MODEL,63,9,2023-10-06,2024-04-08,risk_on_rally,16128,126,-0.029527,-0.067355,0.134153,-0.220102,0.412698,-0.014955,0.008237,-0.023192,0.460928,0.333333,0.266178,0.124,2.0,0.011854
LOGISTIC_OUTPERFORMER_BENCHMARK,63,9,2023-10-06,2024-04-08,risk_on_rally,16128,126,-0.01289,-0.04141,0.121196,-0.106354,0.380952,-0.012915,-0.000542,-0.012374,0.446581,0.412698,0.229853,0.111385,2.0,0.076753
MODEL_FREE_COMPOSITE_BASELINE,5,9,2023-10-06,2024-04-08,risk_on_rally,16128,126,-0.00734,-0.002884,0.192924,-0.038048,0.5,0.000343,0.001156,-0.000812,0.490537,0.5,0.231685,0.238769,,
REFINED_RIDGE_LINEAR_RANK_MODEL,5,9,2023-10-06,2024-04-08,risk_on_rally,16128,126,0.013097,0.016872,0.127531,0.102695,0.563492,0.001206,0.00106,0.000146,0.512821,0.47619,0.202076,0.262154,,
