date,ticker,regime,return_20d,return_63d,return_126d,mom_acceleration,price_vs_sma50,price_vs_sma200,sma50_vs_200,return_zscore_5d,dist_sma20,rs_20d_vs_spy,rs_63d_vs_spy,residual_alpha_20d,realized_vol_63d,downside_vol_63d,vol_adj_momentum,avg_dollar_volume_20d,forward_return_20d,forward_excess_return_20d_vs_spy,top_quintile_forward_excess_return
2026-04-30,INTU,risk_on,-0.084931,-0.225217,-0.424951,-0.052509,-0.059587,-0.338948,-0.297062,1.12754,-0.007026,-0.18172,-0.263518,-0.125802,0.539684,0.424366,-0.417312,1282149362.430267,-0.146641,-0.199267,0
2026-04-30,ISRG,risk_on,-0.014727,-0.098394,-0.160949,0.05856,-0.038262,-0.085575,-0.049195,-0.86653,-0.011416,-0.111516,-0.136696,-0.131391,0.291058,0.205993,-0.338057,1025843516.138458,-0.072048,-0.124674,0
2026-04-30,ITW,risk_on,-0.009711,-0.012243,0.062834,0.077284,-0.047015,-0.001672,0.04758,-1.77818,-0.036033,-0.1065,-0.050545,-0.063648,0.251323,0.155585,-0.048715,343433195.702209,-0.041588,-0.094213,0
2026-04-30,JNJ,risk_on,-0.058455,0.016639,0.24399,-0.053644,-0.037598,0.124179,0.168097,0.304794,-0.017813,-0.155244,-0.021662,-0.064801,0.163421,0.113388,0.101818,1788068016.141281,-0.014027,-0.066653,0
2026-04-30,JPM,risk_on,0.065858,0.027456,0.035673,0.079252,0.049278,0.036847,-0.011847,1.462417,0.014735,-0.030931,-0.010846,-0.030615,0.239771,0.164921,0.114509,2497463903.720398,-0.04444,-0.097066,0
2026-04-30,KLAC,risk_on,0.151667,0.040312,0.455644,0.121903,0.104039,0.395116,0.263648,-1.294063,-9.8e-05,0.054878,0.002011,-0.069015,0.584075,0.433804,0.069019,1602910225.628662,0.099302,0.046676,1
2026-04-30,KO,risk_on,0.035226,0.079961,0.138235,0.054392,0.022889,0.106691,0.081927,0.108602,0.029226,-0.061563,0.04166,0.031738,0.183582,0.109959,0.435561,1053756646.795349,0.003174,-0.049452,0
2026-04-30,LIN,risk_on,0.014803,0.105106,0.139942,0.022217,0.00992,0.091213,0.080495,-1.700479,-0.001152,-0.081986,0.066805,0.021164,0.199303,0.131169,0.527368,958978118.545685,-0.006884,-0.05951,0
2026-04-30,LLY,risk_on,-0.020869,-0.085906,0.143196,0.028006,-0.015022,0.028498,0.044184,1.597775,0.021204,-0.117658,-0.124208,-0.101362,0.454596,0.283023,-0.188973,2774656099.53064,0.184359,0.131734,1
2026-04-30,LMT,risk_on,-0.161372,-0.163548,0.080044,-0.090881,-0.161246,-0.003436,0.188149,1.613511,-0.107091,-0.258161,-0.201849,-0.168956,0.279435,0.218218,-0.585281,833551615.853271,0.024094,-0.028532,0
2026-04-30,LOW,risk_on,0.016765,-0.100149,-0.012522,0.104307,-0.026487,-0.033048,-0.00674,0.517429,-0.014862,-0.080024,-0.138451,-0.070366,0.298514,0.218662,-0.335492,599666401.171341,-0.102307,-0.154933,0
