date,ticker,model,score,forward_excess_return_20d_vs_spy
2018-11-30,GS,cross_sectional_composite_zscore,-1.37838,-0.010755
2018-11-30,ITW,cross_sectional_composite_zscore,0.244281,0.004851
2018-11-30,MA,cross_sectional_composite_zscore,-0.253309,0.030751
2018-11-30,MS,cross_sectional_composite_zscore,-0.513976,-0.002785
2018-11-30,ORCL,cross_sectional_composite_zscore,0.079697,0.0145
2018-11-30,PNC,cross_sectional_composite_zscore,-0.062081,-0.037882
2018-11-30,SLB,cross_sectional_composite_zscore,-1.563423,-0.079062
2018-11-30,TSLA,cross_sectional_composite_zscore,-0.079841,-0.028056
2018-11-30,WFC,cross_sectional_composite_zscore,-0.106058,-0.048125
2018-12-31,ADBE,cross_sectional_composite_zscore,-0.547314,0.001959
2018-12-31,APH,cross_sectional_composite_zscore,0.099415,0.018081
2018-12-31,C,cross_sectional_composite_zscore,-0.908804,0.162914
2018-12-31,COST,cross_sectional_composite_zscore,-0.165382,-0.033158
2018-12-31,EMR,cross_sectional_composite_zscore,-0.316421,0.028752
2018-12-31,GOOGL,cross_sectional_composite_zscore,-0.029738,-0.019914
2018-12-31,ISRG,cross_sectional_composite_zscore,-0.293012,-0.00894
2018-12-31,LOW,cross_sectional_composite_zscore,0.099767,-0.028693
2018-12-31,MRK,cross_sectional_composite_zscore,1.210324,-0.110448
2018-12-31,NVDA,cross_sectional_composite_zscore,-2.282699,-0.041524
2018-12-31,PM,cross_sectional_composite_zscore,-0.585321,0.044976
2018-12-31,SHW,cross_sectional_composite_zscore,0.046497,-0.040748
2018-12-31,TMO,cross_sectional_composite_zscore,0.167502,0.024382
2018-12-31,VZ,cross_sectional_composite_zscore,0.768108,-0.100126
2019-01-31,ACN,cross_sectional_composite_zscore,-0.017514,0.030497
2019-01-31,APD,cross_sectional_composite_zscore,0.138745,0.056703
2019-01-31,BSX,cross_sectional_composite_zscore,0.045646,0.02929
2019-01-31,COP,cross_sectional_composite_zscore,-0.328741,-0.015919
2019-01-31,ELV,cross_sectional_composite_zscore,0.639793,-0.023416
2019-01-31,GOOG,cross_sectional_composite_zscore,-0.117799,-0.016809
2019-01-31,INTU,cross_sectional_composite_zscore,0.080715,0.12141
2019-01-31,LMT,cross_sectional_composite_zscore,0.068754,0.037114
2019-01-31,MO,cross_sectional_composite_zscore,-1.133049,0.030034
2019-01-31,NOW,cross_sectional_composite_zscore,0.458983,0.067946
2019-01-31,PLD,cross_sectional_composite_zscore,0.539377,-0.028452
2019-01-31,SCHW,cross_sectional_composite_zscore,0.216073,-0.034284
2019-01-31,TJX,cross_sectional_composite_zscore,-0.130939,0.011303
2019-01-31,VRTX,cross_sectional_composite_zscore,0.394403,-0.032315
2019-02-28,ABT,cross_sectional_composite_zscore,0.420557,0.011726
2019-02-28,AON,cross_sectional_composite_zscore,0.650868,-0.025479
2019-02-28,BMY,cross_sectional_composite_zscore,-0.578184,-0.085666
2019-02-28,CMG,cross_sectional_composite_zscore,1.075201,0.144617
2019-02-28,DUK,cross_sectional_composite_zscore,0.387924,-0.014845
2019-02-28,GILD,cross_sectional_composite_zscore,-1.034573,-0.0227
2019-02-28,INTC,cross_sectional_composite_zscore,0.465079,-0.008889
2019-02-28,LLY,cross_sectional_composite_zscore,0.667765,0.009341
2019-02-28,META,cross_sectional_composite_zscore,0.01118,0.013674
2019-02-28,NOC,cross_sectional_composite_zscore,-0.121775,-0.090905
2019-02-28,PH,cross_sectional_composite_zscore,0.095809,-0.049187
2019-02-28,SBUX,cross_sectional_composite_zscore,0.506097,0.040941
2019-02-28,TDG,cross_sectional_composite_zscore,0.991604,0.022972
2019-02-28,V,cross_sectional_composite_zscore,0.102687,0.0325
2019-03-29,ABBV,cross_sectional_composite_zscore,-0.904026,-0.030709
2019-03-29,AMZN,cross_sectional_composite_zscore,0.268093,0.048225
2019-03-29,BLK,cross_sectional_composite_zscore,-0.469916,0.082453
2019-03-29,CME,cross_sectional_composite_zscore,-1.256053,0.038363
2019-03-29,DIS,cross_sectional_composite_zscore,-0.401759,0.214294
2019-03-29,GE,cross_sectional_composite_zscore,-0.326244,-0.066348
2019-03-29,ICE,cross_sectional_composite_zscore,-0.41315,0.03257
2019-03-29,LIN,cross_sectional_composite_zscore,0.246361,-0.033671
2019-03-29,MDT,cross_sectional_composite_zscore,-0.524088,-0.080287
2019-03-29,NKE,cross_sectional_composite_zscore,-0.279762,0.007772
2019-03-29,PG,cross_sectional_composite_zscore,0.635879,-0.026197
2019-03-29,RTX,cross_sectional_composite_zscore,0.098797,0.062324
2019-03-29,T,cross_sectional_composite_zscore,0.085628,-0.034663
2019-03-29,USB,cross_sectional_composite_zscore,-0.61562,0.059492
2019-04-30,AAPL,cross_sectional_composite_zscore,0.375684,-0.059089
2019-04-30,AMGN,cross_sectional_composite_zscore,-0.97424,0.005143
2019-04-30,BKNG,cross_sectional_composite_zscore,-0.301326,-0.037576
2019-04-30,CL,cross_sectional_composite_zscore,0.369413,0.014826
