ticker,normalized_path,price_rows,gitignored
BRO,research/data/eodhd/normalized/eod_prices/BRO.csv,2635,True
BXP,research/data/eodhd/normalized/eod_prices/BXP.csv,2635,True
CAG,research/data/eodhd/normalized/eod_prices/CAG.csv,2635,True
CAH,research/data/eodhd/normalized/eod_prices/CAH.csv,2635,True
CARR,research/data/eodhd/normalized/eod_prices/CARR.csv,1576,True
CASY,research/data/eodhd/normalized/eod_prices/CASY.csv,2635,True
CBOE,research/data/eodhd/normalized/eod_prices/CBOE.csv,2635,True
CBRE,research/data/eodhd/normalized/eod_prices/CBRE.csv,2635,True
CCI,research/data/eodhd/normalized/eod_prices/CCI.csv,2635,True
CCL,research/data/eodhd/normalized/eod_prices/CCL.csv,2635,True
CDW,research/data/eodhd/normalized/eod_prices/CDW.csv,2635,True
CF,research/data/eodhd/normalized/eod_prices/CF.csv,2635,True
CFG,research/data/eodhd/normalized/eod_prices/CFG.csv,2635,True
CHD,research/data/eodhd/normalized/eod_prices/CHD.csv,2635,True
CHRW,research/data/eodhd/normalized/eod_prices/CHRW.csv,2635,True
CHTR,research/data/eodhd/normalized/eod_prices/CHTR.csv,2635,True
CINF,research/data/eodhd/normalized/eod_prices/CINF.csv,2635,True
CLX,research/data/eodhd/normalized/eod_prices/CLX.csv,2635,True
CMG,research/data/eodhd/normalized/eod_prices/CMG.csv,2635,True
CMS,research/data/eodhd/normalized/eod_prices/CMS.csv,2635,True
CNC,research/data/eodhd/normalized/eod_prices/CNC.csv,2635,True
CNP,research/data/eodhd/normalized/eod_prices/CNP.csv,2635,True
COIN,research/data/eodhd/normalized/eod_prices/COIN.csv,1307,True
COO,research/data/eodhd/normalized/eod_prices/COO.csv,2635,True
COR,research/data/eodhd/normalized/eod_prices/COR.csv,2635,True
CPAY,research/data/eodhd/normalized/eod_prices/CPAY.csv,2635,True
CPRT,research/data/eodhd/normalized/eod_prices/CPRT.csv,2635,True
CPT,research/data/eodhd/normalized/eod_prices/CPT.csv,2635,True
CRL,research/data/eodhd/normalized/eod_prices/CRL.csv,2635,True
CSGP,research/data/eodhd/normalized/eod_prices/CSGP.csv,2635,True
CTSH,research/data/eodhd/normalized/eod_prices/CTSH.csv,2635,True
CTVA,research/data/eodhd/normalized/eod_prices/CTVA.csv,1782,True
DAL,research/data/eodhd/normalized/eod_prices/DAL.csv,2635,True
DD,research/data/eodhd/normalized/eod_prices/DD.csv,2635,True
DECK,research/data/eodhd/normalized/eod_prices/DECK.csv,2635,True
DG,research/data/eodhd/normalized/eod_prices/DG.csv,2635,True
DGX,research/data/eodhd/normalized/eod_prices/DGX.csv,2635,True
DHI,research/data/eodhd/normalized/eod_prices/DHI.csv,2635,True
DLTR,research/data/eodhd/normalized/eod_prices/DLTR.csv,2635,True
DOC,research/data/eodhd/normalized/eod_prices/DOC.csv,2635,True
DOV,research/data/eodhd/normalized/eod_prices/DOV.csv,2635,True
DOW,research/data/eodhd/normalized/eod_prices/DOW.csv,1828,True
DPZ,research/data/eodhd/normalized/eod_prices/DPZ.csv,2635,True
DRI,research/data/eodhd/normalized/eod_prices/DRI.csv,2635,True
DTE,research/data/eodhd/normalized/eod_prices/DTE.csv,2635,True
DVA,research/data/eodhd/normalized/eod_prices/DVA.csv,2635,True
DVN,research/data/eodhd/normalized/eod_prices/DVN.csv,2635,True
DXCM,research/data/eodhd/normalized/eod_prices/DXCM.csv,2635,True
EA,research/data/eodhd/normalized/eod_prices/EA.csv,2635,True
EBAY,research/data/eodhd/normalized/eod_prices/EBAY.csv,2635,True
ED,research/data/eodhd/normalized/eod_prices/ED.csv,2635,True
EFX,research/data/eodhd/normalized/eod_prices/EFX.csv,2635,True
EG,research/data/eodhd/normalized/eod_prices/EG.csv,2635,True
