date,ticker,regime,price_plus_event_score,y_excess_20d,excess_5d,excess_10d,raw_return_20d
2017-03-31,AMGN,risk_on,1.384046,-0.021431,-0.001915,-0.006983,-0.008959
2017-03-31,AMZN,risk_on,-0.13411,0.057114,0.011698,0.02239,0.069585
2017-03-31,AON,risk_on,-0.613891,0.004057,0.010295,0.007996,0.016529
2017-03-31,APD,risk_on,-1.333001,0.037347,0.000221,0.009176,0.049819
2017-03-31,APH,risk_on,-0.676978,-0.002355,-0.01738,-0.01808,0.010117
2017-03-31,AVGO,risk_on,1.393067,-0.001693,-0.000952,-0.018283,0.010778
2017-03-31,AXP,risk_on,-0.520623,-0.006842,-0.010612,-0.021901,0.005629
2017-03-31,BA,risk_on,0.790298,0.018796,0.013542,0.017176,0.031268
2017-03-31,BAC,risk_on,2.538357,-0.011624,-0.015937,-0.028102,0.000848
2017-03-31,BKNG,risk_on,0.40637,0.038063,-0.003558,-0.000296,0.050534
2017-03-31,BLK,risk_on,-1.005843,-0.013801,0.008835,0.005719,-0.00133
2017-03-31,BMY,risk_on,1.200578,0.030533,-0.008235,-0.014268,0.043004
2017-03-31,BSX,risk_on,-0.167842,0.049049,-0.006555,-0.005089,0.06152
2017-03-31,C,risk_on,0.239759,-0.015836,-0.004229,-0.008912,-0.003365
2017-03-31,CAT,risk_on,0.200627,0.096274,0.032045,0.01984,0.108746
2017-03-31,CB,risk_on,-0.296489,-0.007775,0.011244,0.019201,0.004697
2017-03-31,CDNS,risk_on,1.44426,0.029248,-0.004716,0.004326,0.04172
2017-03-31,CI,risk_on,0.356901,0.062824,0.040177,0.03691,0.075295
2017-03-31,CL,risk_on,-0.720284,-0.026158,0.005843,0.016986,-0.013687
2017-03-31,CME,risk_on,0.244371,-0.030653,-0.004527,-0.006485,-0.018182
2017-03-31,CMG,risk_on,-1.794747,0.05949,0.006376,0.059663,0.071961
2017-03-31,COP,risk_on,-0.248731,-0.060396,-0.004326,-0.013485,-0.047925
2017-03-31,COST,risk_on,-0.583374,0.048176,0.019763,0.016949,0.060647
2017-03-31,CRM,risk_on,0.102571,0.03808,0.025203,0.025693,0.050551
2017-03-31,CSCO,risk_on,-0.059554,0.001313,-0.014067,-0.021839,0.013785
2017-03-31,CVS,risk_on,-0.533648,0.038319,-0.015798,0.007893,0.05079
2017-03-31,CVX,risk_on,-1.783629,-0.025976,0.016168,-0.006214,-0.013505
2017-03-31,DE,risk_on,0.685063,0.016097,0.006516,0.004412,0.028569
2017-03-31,DIS,risk_on,-0.541814,-0.000654,-0.004853,0.008402,0.011818
2017-03-31,DUK,risk_on,-1.046839,-0.01174,0.005339,0.016181,0.000732
2017-03-31,ELV,risk_on,0.190655,0.071094,0.007612,0.014396,0.083565
2017-03-31,EMR,risk_on,0.297986,-0.003951,-0.006062,-0.019427,0.00852
2017-03-31,EOG,risk_on,0.694677,-0.067447,0.000343,-0.011916,-0.054975
2017-03-31,EQIX,risk_on,-1.597879,0.037008,0.005712,0.011557,0.049479
2017-03-31,ETN,risk_on,-0.41614,0.014232,0.007955,0.006717,0.026703
2017-03-31,FDX,risk_on,-1.17596,-0.047931,0.004853,-0.044281,-0.03546
2017-03-31,GD,risk_on,0.330704,0.023951,0.011293,0.018526,0.036422
2017-03-31,GE,risk_on,-1.105297,-0.041331,0.008666,-0.000406,-0.028859
2017-03-31,GILD,risk_on,-0.564512,-0.009674,-0.017439,-0.013,0.002797
2017-03-31,GOOG,risk_on,-1.057433,0.087594,-0.003604,0.014137,0.100065
