family,ticker,status,available_date,value,pit_ok
short_interest_days_to_cover,LEN,OK,2018-03-15,3.26,True
short_interest_days_to_cover,LEN,OK,2018-03-29,4.4,True
short_interest_days_to_cover,LEN,OK,2018-04-13,1.53,True
short_interest_days_to_cover,LEN,OK,2018-04-30,2.87,True
short_interest_days_to_cover,LEN,OK,2018-05-15,3.29,True
short_interest_days_to_cover,LH,OK,2017-12-29,6.44,True
short_interest_days_to_cover,LH,OK,2018-01-12,5.67,True
short_interest_days_to_cover,LH,OK,2018-01-31,5.59,True
short_interest_days_to_cover,LH,OK,2018-02-15,3.8,True
short_interest_days_to_cover,LH,OK,2018-02-28,3.97,True
short_interest_days_to_cover,LH,OK,2018-03-15,4.45,True
short_interest_days_to_cover,LH,OK,2018-03-29,4.46,True
short_interest_days_to_cover,LH,OK,2018-04-13,4.24,True
short_interest_days_to_cover,LH,OK,2018-04-30,3.14,True
short_interest_days_to_cover,LH,OK,2018-05-15,3.94,True
short_interest_days_to_cover,LHX,OK,2019-07-15,1.54,True
short_interest_days_to_cover,LHX,OK,2019-07-31,2.06,True
short_interest_days_to_cover,LHX,OK,2019-08-15,1.14,True
short_interest_days_to_cover,LHX,OK,2019-08-30,1.32,True
short_interest_days_to_cover,LHX,OK,2019-09-13,1.29,True
short_interest_days_to_cover,LHX,OK,2019-09-30,1.04,True
short_interest_days_to_cover,LHX,OK,2019-10-15,1.78,True
short_interest_days_to_cover,LHX,OK,2019-10-31,1.18,True
short_interest_days_to_cover,LHX,OK,2019-11-15,1.12,True
short_interest_days_to_cover,LHX,OK,2019-11-29,1.64,True
short_interest_days_to_cover,LII,OK,2017-12-29,13.01,True
short_interest_days_to_cover,LII,OK,2018-01-12,10.15,True
short_interest_days_to_cover,LII,OK,2018-01-31,11.18,True
short_interest_days_to_cover,LII,OK,2018-02-15,6.68,True
short_interest_days_to_cover,LII,OK,2018-02-28,8.56,True
short_interest_days_to_cover,LII,OK,2018-03-15,8.95,True
short_interest_days_to_cover,LII,OK,2018-03-29,7.91,True
short_interest_days_to_cover,LII,OK,2018-04-13,8.09,True
short_interest_days_to_cover,LII,OK,2018-04-30,5.17,True
short_interest_days_to_cover,LII,OK,2018-05-15,9.13,True
short_interest_days_to_cover,LIN,OK,2018-10-31,12.71,True
short_interest_days_to_cover,LIN,OK,2018-11-15,2.47,True
short_interest_days_to_cover,LIN,OK,2018-11-30,2.85,True
short_interest_days_to_cover,LIN,OK,2018-12-14,2.39,True
short_interest_days_to_cover,LIN,OK,2018-12-31,2.56,True
short_interest_days_to_cover,LIN,OK,2019-01-15,3.94,True
short_interest_days_to_cover,LIN,OK,2019-01-31,3.63,True
short_interest_days_to_cover,LIN,OK,2019-02-15,3.41,True
short_interest_days_to_cover,LIN,OK,2019-02-28,3.22,True
short_interest_days_to_cover,LIN,OK,2019-03-15,3.22,True
short_interest_days_to_cover,LITE,OK,2017-12-29,8.27,True
short_interest_days_to_cover,LITE,OK,2018-01-12,8.63,True
short_interest_days_to_cover,LITE,OK,2018-01-31,4.51,True
short_interest_days_to_cover,LITE,OK,2018-02-15,3.55,True
short_interest_days_to_cover,LITE,OK,2018-02-28,8.24,True
short_interest_days_to_cover,LITE,OK,2018-03-15,4.99,True
short_interest_days_to_cover,LITE,OK,2018-03-29,6.16,True
short_interest_days_to_cover,LITE,OK,2018-04-13,3.85,True
short_interest_days_to_cover,LITE,OK,2018-04-30,3.96,True
short_interest_days_to_cover,LITE,OK,2018-05-15,5.12,True
short_interest_days_to_cover,LLY,OK,2017-12-29,5.12,True
short_interest_days_to_cover,LLY,OK,2018-01-12,4.61,True
short_interest_days_to_cover,LLY,OK,2018-01-31,1.98,True
short_interest_days_to_cover,LLY,OK,2018-02-15,1.57,True
short_interest_days_to_cover,LLY,OK,2018-02-28,2.32,True
short_interest_days_to_cover,LLY,OK,2018-03-15,3.63,True
short_interest_days_to_cover,LLY,OK,2018-03-29,2.35,True
short_interest_days_to_cover,LLY,OK,2018-04-13,2.7,True
short_interest_days_to_cover,LLY,OK,2018-04-30,2.13,True
short_interest_days_to_cover,LLY,OK,2018-05-15,2.72,True
short_interest_days_to_cover,LMT,OK,2017-12-29,3.09,True
short_interest_days_to_cover,LMT,OK,2018-01-12,2.19,True
short_interest_days_to_cover,LMT,OK,2018-01-31,1.59,True
short_interest_days_to_cover,LMT,OK,2018-02-15,1.35,True
short_interest_days_to_cover,LMT,OK,2018-02-28,2.64,True
short_interest_days_to_cover,LMT,OK,2018-03-15,2.25,True
short_interest_days_to_cover,LMT,OK,2018-03-29,1.38,True
short_interest_days_to_cover,LMT,OK,2018-04-13,2.33,True
short_interest_days_to_cover,LMT,OK,2018-04-30,1.49,True
short_interest_days_to_cover,LMT,OK,2018-05-15,1.35,True
short_interest_days_to_cover,LNT,OK,2017-12-29,5.75,True
short_interest_days_to_cover,LNT,OK,2018-01-12,5.04,True
short_interest_days_to_cover,LNT,OK,2018-01-31,4.55,True
short_interest_days_to_cover,LNT,OK,2018-02-15,3.26,True
short_interest_days_to_cover,LNT,OK,2018-02-28,3.24,True
short_interest_days_to_cover,LNT,OK,2018-03-15,4.09,True
short_interest_days_to_cover,LNT,OK,2018-03-29,4.39,True
short_interest_days_to_cover,LNT,OK,2018-04-13,4.1,True
short_interest_days_to_cover,LNT,OK,2018-04-30,5.82,True
short_interest_days_to_cover,LNT,OK,2018-05-15,5.02,True
short_interest_days_to_cover,LOW,OK,2017-12-29,2.09,True
