date,ticker,regime,return_5d,return_10d,return_20d,return_63d,return_126d,return_252d,mom_acceleration,trend_persistence,reversal_1d,reversal_5d,dist_sma20,dist_sma50,return_zscore_5d,return_zscore_20d,rs_5d_vs_spy,rs_20d_vs_spy,rs_63d_vs_spy,rs_126d_vs_spy,residual_alpha_20d,residual_alpha_63d,realized_vol_20d,realized_vol_63d,downside_vol_63d,vol_compression,vol_adj_momentum,beta_63d,log_dollar_volume_20d,volume_shock,price_volume_breakout,dist_from_63d_high,dist_from_126d_high,max_drawdown_126d,recovery_from_low_63d,breakout_after_consolidation,mom_x_riskon,rev_x_highvol,volshock_x_breakout,avg_dollar_volume_20d,forward_excess_return_5d_vs_spy,forward_excess_return_10d_vs_spy,forward_excess_return_20d_vs_spy,top_quintile_label,downside_risk_label
2026-04-30,CME,risk_on,0.008232,-0.028357,-0.030713,0.016805,0.111625,0.097214,-0.076448,0.063492,0.001915,0.008232,-0.019242,-0.044231,0.980353,0.34103,-0.00618,-0.127502,-0.021496,0.059676,-0.006324,0.026456,0.217406,0.217678,0.154974,0.998752,0.077201,-0.251982,20.365367,0.850978,0.007005,-0.097284,-0.097284,-0.115726,0.020856,0.0,0.016805,-0.0,0.0,699143640.941162,-0.021348,-0.006736,-0.10224,0,0
2026-04-30,CMG,risk_on,0.002655,-0.031072,0.041679,-0.13069,-0.155738,-0.328924,-0.101878,-0.007937,0.030312,0.002655,-0.009182,-0.014251,1.585896,0.182415,-0.011757,-0.055109,-0.168992,-0.207687,-0.087112,-0.181656,0.275636,0.350257,0.273255,0.786954,-0.373127,1.330644,20.097132,1.263692,0.003355,-0.14876,-0.168339,-0.250251,0.101426,0.0,-0.13069,-0.0,0.0,534654969.086285,-0.039161,-0.096961,-0.115291,0,0
2026-04-30,COP,risk_on,0.011337,0.03463,-0.020252,0.233063,0.474075,0.415849,0.037604,0.071429,-0.019259,0.011337,0.018635,0.032749,-1.656957,-0.20266,-0.003075,-0.117041,0.194761,0.422126,0.059981,0.264813,0.385156,0.319384,0.211517,1.205934,0.729725,-0.828953,20.791787,1.111222,0.012598,-0.05994,-0.05994,-0.132735,0.245298,0.0,0.233063,-0.0,0.0,1070922811.251678,-0.104637,-0.088175,-0.139706,0,0
2026-04-30,COST,risk_on,0.000148,0.027674,0.018032,0.066142,0.100841,0.028628,0.033596,-0.007937,0.015881,0.000148,0.010836,0.018197,0.140236,0.141224,-0.014264,-0.078757,0.027841,0.048892,0.019248,0.066623,0.199004,0.191611,0.12781,1.038583,0.345188,-0.012562,21.30094,0.911309,0.000135,-0.016957,-0.016957,-0.096456,0.079,0.0,0.066142,-0.0,0.0,1781888616.314392,-0.018965,-0.013236,-0.108634,0,0
2026-04-30,CRM,risk_on,0.018638,-0.02588,-0.049766,-0.173339,-0.302851,-0.335796,-0.016671,-0.007937,-0.02588,0.018638,-0.015038,-0.05266,1.681634,0.298552,0.004226,-0.146555,-0.211641,-0.3548,-0.088743,-0.188763,0.482788,0.439651,0.353315,1.098117,-0.394266,0.402694,21.623076,0.713271,0.013294,-0.166369,-0.335268,-0.378836,0.070138,0.0,-0.173339,-0.0,0.0,2459137446.194839,0.037593,-0.091762,0.02991,1,0
2026-04-30,CSCO,risk_on,0.032848,0.08284,0.180493,0.172967,0.27359,0.632474,0.087182,0.071429,0.021547,0.032848,0.07124,0.126865,0.949323,1.931485,0.018436,0.083704,0.134666,0.221641,0.078156,0.13247,0.250946,0.368364,0.290201,0.681244,0.469555,1.05732,21.114625,0.813794,0.026731,0.0,0.0,-0.135746,0.226611,0.0,0.172967,-0.0,0.0,1478989213.518524,-0.010765,0.22156,0.26344,1,0
2026-04-30,CVS,risk_on,0.056176,0.094167,0.159071,0.128708,0.030564,0.327638,0.215661,0.047619,-0.007271,0.056176,0.073969,0.098374,0.070053,1.468035,0.041764,0.062282,0.090407,-0.021385,0.148351,0.124466,0.370498,0.304235,0.178197,1.217802,0.423055,0.110756,20.205265,0.998116,0.05607,-0.007271,-0.007271,-0.164421,0.19893,0.0,0.128708,-0.0,0.0,595710157.791138,0.030887,0.125344,0.039702,1,0
2026-04-30,CVX,risk_on,0.030437,0.027425,-0.020769,0.14026,0.280615,0.450175,0.017169,0.071429,0.005671,0.030437,0.019017,0.0025,1.025243,0.450755,0.016025,-0.117558,0.101958,0.228666,0.04474,0.166183,0.268827,0.250865,0.171788,1.071603,0.559105,-0.67682,21.424681,0.807914,0.024591,-0.08449,-0.08449,-0.132134,0.121652,0.0,0.14026,-0.0,0.0,2016603589.797668,-0.073899,-0.075567,-0.100108,0,0
2026-04-30,DE,risk_on,-0.003514,0.009723,0.03359,0.11607,0.26795,0.297327,-0.020015,0.02381,0.053302,-0.003514,0.007693,-0.002037,1.718564,0.566542,-0.017926,-0.063199,0.077769,0.216001,-0.025796,0.09257,0.394402,0.391434,0.207135,1.007583,0.296525,0.613563,20.290143,0.685943,-0.00241,-0.107013,-0.107013,-0.161497,0.120446,0.0,0.11607,0.0,0.0,648480801.881104,-0.033795,-0.066882,-0.133474,0,0
2026-04-30,DIS,risk_on,0.000965,-0.001444,0.074462,-0.070174,-0.06447,0.150569,-0.076309,-0.02381,0.024186,0.000965,0.019987,0.026813,1.737257,0.76893,-0.013447,-0.022327,-0.108475,-0.116419,-0.01093,-0.103965,0.218659,0.291326,0.222389,0.750563,-0.240877,0.882249,20.451143,0.60587,0.000585,-0.080231,-0.104677,-0.202451,0.122593,0.0,-0.070174,-0.0,0.0,761760956.723671,0.029347,-0.024966,-0.071132,0,0
2026-04-30,DUK,risk_on,0.011793,0.007152,-0.010313,0.080762,0.048858,0.102197,0.110283,0.039683,0.02403,0.011793,0.003602,-0.00107,0.602402,0.013114,-0.002618,-0.107102,0.042461,-0.003091,0.012326,0.089721,0.173453,0.164004,0.104063,1.057611,0.492441,-0.233907,19.741748,0.609912,0.007193,-0.029297,-0.029297,-0.089311,0.093425,0.0,0.080762,-0.0,0.0,374741682.832146,-0.054103,-0.08151,-0.097083,0,0
2026-04-30,ELV,risk_on,0.087008,0.191881,0.261039,0.091534,0.121663,-0.070574,0.063931,0.02381,-0.000558,0.087008,0.144148,0.209661,-0.577522,1.666774,0.072596,0.16425,0.053232,0.069714,0.217014,0.074112,0.301742,0.344138,0.241385,0.876806,0.26598,0.454852,20.203972,1.227791,0.106828,-0.000558,-0.008351,-0.264944,0.349079,0.0,0.091534,-0.0,0.0,594940394.098358,-0.027276,0.01284,-0.008074,0,0
2026-04-30,EMR,risk_on,-0.014041,0.000499,0.060966,-0.064625,0.052568,0.358615,-0.189915,0.047619,0.028412,-0.014041,-0.004427,0.008631,1.667076,-0.102659,-0.028453,-0.035823,-0.102927,0.000619,-0.105891,-0.130654,0.334871,0.389693,0.274197,0.859319,-0.165836,1.723923,19.739921,0.72012,-0.010111,-0.128087,-0.128087,-0.234499,0.13901,0.0,-0.064625,0.0,0.0,374057774.913406,-0.01335,-0.059291,-0.02442,0,0
2026-04-30,EOG,risk_on,0.050049,0.048482,0.008841,0.263931,0.350442,0.289116,0.195485,0.079365,0.010423,0.050049,0.038229,0.051235,1.197095,0.295827,0.035637,-0.087948,0.22563,0.298494,0.08355,0.293495,0.297896,0.300394,0.1895,0.991684,0.878617,-0.771877,20.108402,0.645845,0.032324,-0.054897,-0.054897,-0.136519,0.306719,0.0,0.263931,-0.0,0.0,540714353.324432,-0.086841,-0.073644,-0.103775,0,0
2026-04-30,EQIX,risk_on,-0.029105,0.01114,0.087201,0.317997,0.342096,0.300933,0.299713,0.007937,-0.00573,-0.029105,0.01709,0.0797,-1.069593,-0.401725,-0.043516,-0.009588,0.279696,0.290147,0.063599,0.308658,0.187,0.289942,0.110587,0.644957,1.096763,0.243846,20.156954,1.297163,-0.037753,-0.029105,-0.029105,-0.13655,0.357809,0.0,0.317997,0.0,0.0,567614884.80957,-0.032819,-0.043972,-0.061406,0,0
2026-04-30,ETN,risk_on,0.020047,0.102564,0.184511,0.225725,0.158372,0.50796,0.280675,0.039683,0.054142,0.020047,0.077769,0.146184,0.1408,1.281459,0.005635,0.087723,0.187424,0.106423,0.050546,0.172712,0.327956,0.365727,0.220942,0.896723,0.617196,1.384098,20.617709,1.049512,0.02104,0.0,0.0,-0.183257,0.260472,0.0,0.225725,-0.0,0.0,899823024.341583,-0.096175,-0.095986,-0.124917,0,0
2026-04-30,FDX,risk_on,0.027044,0.05889,0.122457,0.26573,0.631019,0.964611,-0.022869,0.079365,0.03788,0.027044,0.060343,0.0867,1.569397,1.107929,0.012633,0.025668,0.227429,0.57907,0.049368,0.236807,0.308959,0.289933,0.148518,1.065621,0.916524,0.75514,20.137353,0.730528,0.019757,0.0,0.0,-0.116697,0.256618,0.0,0.26573,-0.0,0.0,556597432.496127,-0.085866,-0.098909,-0.031699,0,0
2026-04-30,GD,risk_on,0.080292,0.028007,-0.013211,-0.011575,0.001824,0.288695,-0.025131,-0.007937,0.016444,0.080292,0.030806,-0.000761,1.246631,1.19331,0.065881,-0.11,-0.049877,-0.050125,-0.041913,-0.022933,0.347587,0.271812,0.1615,1.278777,-0.042586,0.296542,20.043062,1.423802,0.114321,-0.05523,-0.05847,-0.145349,0.101654,0.0,-0.011575,-0.0,0.0,506513915.328369,-0.007929,-0.051751,-0.045306,0,0
2026-04-30,GE,risk_on,0.026882,-0.028026,-0.009396,-0.028467,-0.061673,0.453689,0.005712,0.0,0.022428,0.026882,-0.019671,-0.05433,0.855496,0.080383,0.012471,-0.106185,-0.066768,-0.113622,-0.157108,-0.08692,0.474101,0.391579,0.284338,1.210741,-0.072698,1.526129,21.425235,1.281457,0.034449,-0.1602,-0.1602,-0.208515,0.061043,0.0,-0.028467,-0.0,0.0,2017722190.404816,0.025826,-0.035509,0.064058,1,0
2026-04-30,GILD,risk_on,-0.020952,-0.055648,-0.067427,-0.05709,0.123618,0.288926,-0.24874,0.015873,0.015523,-0.020952,-0.037761,-0.068436,1.082466,-1.860463,-0.035364,-0.164216,-0.095392,0.071669,-0.124255,-0.079578,0.198464,0.262309,0.176859,0.756605,-0.217645,0.587134,20.387566,0.881227,-0.018463,-0.155436,-0.155436,-0.175382,0.024188,0.0,-0.05709,0.0,0.0,714837619.42379,0.006632,-0.031738,-0.025188,0,0
2026-04-30,GOOG,risk_on,0.130836,0.14776,0.295151,0.128592,0.424798,1.364929,-0.133863,0.0,0.099709,0.130836,0.155949,0.22191,1.685209,1.831312,0.116425,0.198362,0.090291,0.372849,0.159657,0.074975,0.391875,0.338351,0.170934,1.158188,0.380056,1.399892,22.473609,1.30092,0.170208,0.0,0.0,-0.207502,0.39833,0.0,0.128592,-0.0,0.0,5756578179.129944,0.017001,-0.001187,-0.067052,0,0
2026-04-30,GOOGL,risk_on,0.135472,0.14517,0.293924,0.138421,0.44062,1.410928,-0.127034,0.015873,0.099617,0.135472,0.157208,0.226246,1.688037,1.797266,0.12106,0.197135,0.10012,0.388671,0.154921,0.083415,0.396229,0.346502,0.176429,1.143514,0.399481,1.436146,22.910798,1.322292,0.179133,0.0,0.0,-0.203665,0.406947,0.0,0.138421,-0.0,0.0,8913190946.364594,0.0163,0.001219,-0.064216,0,0
2026-04-30,GS,risk_on,-0.008085,0.026411,0.073889,-0.01222,0.178193,0.717751,-0.204989,0.095238,0.020064,-0.008085,0.01561,0.062101,0.03132,-0.911528,-0.022497,-0.0229,-0.050521,0.126245,-0.0842,-0.074779,0.275275,0.34043,0.257243,0.808608,-0.035896,1.63334,21.299314,0.691806,-0.005594,-0.021453,-0.048397,-0.194222,0.180974,0.0,-0.01222,0.0,0.0,1778993797.890625,-0.015705,0.007857,0.057564,1,0
