side,rank_sn,ticker,comp_sn,comp_raw,sector,sector_is_unknown,cohort,liquidity_proxy,review_status,fcf_to_assets,avail_fcf_to_assets,operating_accruals,avail_operating_accruals
SHORT,432,KLAC,-1.64179,-0.81716,Information Technology,False,old,457598531.54419,PAPER_REVIEW_ONLY,0.03688,2026-04-29,0.02925,2026-04-29
SHORT,433,MOS,-1.65709,-1.6581,Unknown,True,new,160740984.09813,PAPER_REVIEW_ONLY,-0.01657,2026-02-27,0.00892,2026-02-27
SHORT,434,NVO,-1.68261,-1.69586,Unknown,True,old,255099912.30531,PAPER_REVIEW_ONLY,0.02154,2026-05-06,0.04376,2026-05-06
SHORT,435,EG,-1.72937,-1.74689,Unknown,True,new,92919800.8432,PAPER_REVIEW_ONLY,-0.00528,2026-02-26,0.01241,2026-02-26
SHORT,436,LYB,-1.73086,-1.73164,Unknown,True,new,227147012.32586,PAPER_REVIEW_ONLY,-0.01584,2026-05-01,0.0116,2026-05-01
SHORT,437,CNP,-1.73885,-1.75215,Unknown,True,new,133932446.55112,PAPER_REVIEW_ONLY,-0.01915,2026-04-23,0.00071,2026-04-23
SHORT,438,APTV,-1.73972,-1.74093,Unknown,True,new,183699022.02728,PAPER_REVIEW_ONLY,-0.01436,2026-04-01,0.01317,2026-04-01
SHORT,439,CRH,-1.74697,-1.746,Unknown,True,old,149776952.25315,PAPER_REVIEW_ONLY,-0.02092,2026-04-30,0.0075,2026-04-30
SHORT,440,RKLB,-1.75535,-1.7522,Unknown,True,old,378992840.62067,PAPER_REVIEW_ONLY,-0.02745,2026-05-07,0.00188,2026-05-07
SHORT,441,GOOG,-1.77137,-1.48855,Communication Services,False,new,28760408778.32265,PAPER_REVIEW_ONLY,0.01437,2026-04-30,0.02385,2026-04-30
SHORT,442,GOOGL,-1.77137,-1.48855,Communication Services,False,old,3758556190.08703,PAPER_REVIEW_ONLY,0.01437,2026-04-30,0.02385,2026-04-30
SHORT,443,CVNA,-1.7897,-1.80877,Unknown,True,old,429384601.72938,PAPER_REVIEW_ONLY,0.00407,2026-04-29,0.02164,2026-04-29
SHORT,444,HON,-1.79787,-2.38198,Industrials,False,old,527220909.3048,PAPER_REVIEW_ONLY,-0.0118,2026-04-23,0.01988,2026-04-23
SHORT,445,PHM,-1.83459,-1.8516,Unknown,True,new,156597538.63249,PAPER_REVIEW_ONLY,1e-05,2026-04-23,0.01906,2026-04-23
SHORT,446,HSIC,-1.84082,-1.84215,Unknown,True,new,106370167.48306,PAPER_REVIEW_ONLY,-0.01203,2026-05-05,0.01805,2026-05-05
SHORT,447,OXY,-1.84605,-1.85006,Unknown,True,new,571947748.83444,PAPER_REVIEW_ONLY,-0.0037,2026-05-05,0.02565,2026-05-05
SHORT,448,NKE,-1.86925,-0.7224,Consumer Discretionary,False,old,736784832.02591,PAPER_REVIEW_ONLY,0.00766,2026-04-01,0.00243,2026-04-01
SHORT,449,BLK,-1.89895,-2.159,Financials,False,old,408843867.85497,PAPER_REVIEW_ONLY,-0.00701,2026-04-03,0.01938,2026-04-03
SHORT,450,FE,-1.94091,-1.95019,Unknown,True,new,162135052.47456,PAPER_REVIEW_ONLY,-0.01945,2026-04-28,0.00451,2026-04-28
SHORT,451,SOLV,-1.94439,-1.94268,Unknown,True,new,92560308.85604,PAPER_REVIEW_ONLY,-0.01937,2026-05-05,0.01433,2026-05-05
SHORT,452,BX,-1.97128,-1.98547,Unknown,True,old,325715571.6499,PAPER_REVIEW_ONLY,-0.00053,2026-02-27,0.02134,2026-02-27
SHORT,453,PPG,-1.98438,-1.99633,Unknown,True,new,187670740.54394,PAPER_REVIEW_ONLY,-0.00736,2026-04-29,0.01576,2026-04-29
SHORT,454,AXON,-2.0775,-2.07873,Unknown,True,new,138263360.85322,PAPER_REVIEW_ONLY,-0.00773,2026-05-07,0.02842,2026-05-07
SHORT,455,COHR,-2.11456,-2.11086,Unknown,True,old,193111788.66134,PAPER_REVIEW_ONLY,-0.02218,2026-05-06,0.01649,2026-05-06
SHORT,456,SBUX,-2.18548,-1.03111,Consumer Discretionary,False,old,649704650.83033,PAPER_REVIEW_ONLY,0.003,2026-04-28,0.00479,2026-04-28
SHORT,457,BG,-2.30978,-2.31218,Unknown,True,new,113196015.45657,PAPER_REVIEW_ONLY,-0.01843,2026-04-02,0.0128,2026-04-02
SHORT,458,NU,-2.31335,-2.3102,Unknown,True,old,389687222.54171,PAPER_REVIEW_ONLY,-0.01664,2026-05-14,0.02693,2026-05-14
SHORT,459,OMC,-2.36542,-2.36852,Unknown,True,new,168603249.78564,PAPER_REVIEW_ONLY,-0.0123,2026-04-29,0.01918,2026-04-29
SHORT,460,BSX,-2.39008,-1.84967,Health Care,False,old,407302828.32592,PAPER_REVIEW_ONLY,0.00386,2026-03-31,0.0223,2026-03-31
SHORT,461,PEP,-2.43395,-2.08714,Consumer Staples,False,old,660458379.76606,PAPER_REVIEW_ONLY,-0.00367,2026-04-16,0.02076,2026-04-16
