date,symbol,cohort,driver
2024-07-12,ADSK,cohort_high_beta,market
2024-07-19,ADSK,cohort_high_beta,market
2024-07-26,ADSK,cohort_high_beta,market
2024-08-02,ADSK,cohort_high_beta,market
2024-08-09,ADSK,cohort_high_beta,market
2024-08-16,ADSK,cohort_high_beta,market
2024-08-23,ADSK,cohort_high_beta,market
2024-08-30,ADSK,cohort_high_beta,market
2024-09-06,ADSK,cohort_high_beta,market
2024-09-13,ADSK,cohort_high_beta,market
2024-09-20,ADSK,cohort_high_beta,market
2024-09-27,ADSK,cohort_high_beta,market
2024-10-04,ADSK,cohort_high_beta,market
2024-10-11,ADSK,cohort_high_beta,market
2024-10-18,ADSK,cohort_high_beta,market
2024-10-25,ADSK,cohort_high_beta,market
2024-11-01,ADSK,cohort_high_beta,market
2024-11-08,ADSK,cohort_high_beta,market
2024-11-15,ADSK,cohort_high_beta,market
2024-11-22,ADSK,cohort_high_beta,market
2024-11-29,ADSK,cohort_high_beta,market
2024-12-06,ADSK,cohort_high_beta,market
2024-12-13,ADSK,cohort_high_beta,market
2024-12-20,ADSK,cohort_high_beta,market
2024-12-27,ADSK,cohort_high_beta,market
2025-01-03,ADSK,cohort_high_beta,market
2025-01-10,ADSK,cohort_high_beta,market
2025-01-17,ADSK,cohort_high_beta,market
2025-01-24,ADSK,cohort_high_beta,market
2025-01-31,ADSK,cohort_high_beta,market
2025-02-07,ADSK,cohort_high_beta,market
2025-02-14,ADSK,cohort_high_beta,market
2025-02-21,ADSK,cohort_high_beta,market
2025-02-28,ADSK,cohort_high_beta,market
2025-03-07,ADSK,cohort_high_beta,market
2025-03-14,ADSK,cohort_high_beta,market
2025-03-21,ADSK,cohort_high_beta,market
2025-03-28,ADSK,cohort_high_beta,market
2024-05-31,AES,cohort_high_beta,market
2024-06-07,AES,cohort_high_beta,market
2024-06-14,AES,cohort_high_beta,market
2024-06-21,AES,cohort_high_beta,market
2024-06-28,AES,cohort_high_beta,market
2024-07-05,AES,cohort_high_beta,market
2024-07-12,AES,cohort_high_beta,market
2024-07-19,AES,cohort_high_beta,market
2024-07-26,AES,cohort_high_beta,market
2024-08-02,AES,cohort_high_beta,market
2024-08-09,AES,cohort_high_beta,market
2024-08-16,AES,cohort_high_beta,market
2024-08-23,AES,cohort_high_beta,market
2024-08-30,AES,cohort_high_beta,market
2024-09-06,AES,cohort_high_beta,market
2024-09-13,AES,cohort_high_beta,market
2024-09-20,AES,cohort_high_beta,market
2024-09-27,AES,cohort_high_beta,market
2024-10-04,AES,cohort_high_beta,market
2024-10-18,AES,cohort_high_beta,market
2024-10-25,AES,cohort_high_beta,market
2024-11-01,AES,cohort_high_beta,market
2024-05-31,ALB,cohort_high_beta,market
2024-06-07,ALB,cohort_high_beta,market
2024-06-14,ALB,cohort_high_beta,market
2024-06-21,ALB,cohort_high_beta,market
2024-06-28,ALB,cohort_high_beta,market
2024-07-05,ALB,cohort_high_beta,market
2024-07-12,ALB,cohort_high_beta,market
2024-07-19,ALB,cohort_high_beta,market
2024-07-26,ALB,cohort_high_beta,market
2024-08-02,ALB,cohort_high_beta,market
2024-08-09,ALB,cohort_high_beta,market
2024-08-16,ALB,cohort_high_beta,market
2024-08-23,ALB,cohort_high_beta,market
2024-08-30,ALB,cohort_high_beta,market
2024-09-06,ALB,cohort_high_beta,market
2024-09-13,ALB,cohort_high_beta,market
2024-09-20,ALB,cohort_high_beta,market
2024-09-27,ALB,cohort_high_beta,market
2024-10-04,ALB,cohort_high_beta,market
2024-10-11,ALB,cohort_high_beta,market
2024-10-18,ALB,cohort_high_beta,market
2024-10-25,ALB,cohort_high_beta,market
2024-11-01,ALB,cohort_high_beta,market
2024-11-08,ALB,cohort_high_beta,market
2024-11-15,ALB,cohort_high_beta,market
2024-11-22,ALB,cohort_high_beta,market
2024-11-29,ALB,cohort_high_beta,market
2024-12-06,ALB,cohort_high_beta,market
2024-12-13,ALB,cohort_high_beta,market
2024-12-20,ALB,cohort_high_beta,market
2024-12-27,ALB,cohort_high_beta,market
2025-01-03,ALB,cohort_high_beta,market
2025-01-10,ALB,cohort_high_beta,market
2025-01-17,ALB,cohort_high_beta,market
2025-01-24,ALB,cohort_high_beta,market
2025-01-31,ALB,cohort_high_beta,market
2025-02-07,ALB,cohort_high_beta,market
2025-02-14,ALB,cohort_high_beta,market
2025-02-21,ALB,cohort_high_beta,market
2025-02-28,ALB,cohort_high_beta,market
2025-03-07,ALB,cohort_high_beta,market
2025-03-14,ALB,cohort_high_beta,market
2025-03-21,ALB,cohort_high_beta,market
2025-03-28,ALB,cohort_high_beta,market
2025-04-04,ALB,cohort_high_beta,market
2025-04-11,ALB,cohort_high_beta,market
2025-04-17,ALB,cohort_high_beta,market
2025-04-25,ALB,cohort_high_beta,market
2025-05-02,ALB,cohort_high_beta,market
2025-05-09,ALB,cohort_high_beta,market
2025-05-16,ALB,cohort_high_beta,market
2025-05-23,ALB,cohort_high_beta,market
2025-05-30,ALB,cohort_high_beta,market
2025-06-06,ALB,cohort_high_beta,market
2025-06-13,ALB,cohort_high_beta,market
2025-06-20,ALB,cohort_high_beta,market
2025-06-27,ALB,cohort_high_beta,market
2025-07-03,ALB,cohort_high_beta,market
2025-07-11,ALB,cohort_high_beta,market
2025-07-18,ALB,cohort_high_beta,market
2025-07-25,ALB,cohort_high_beta,market
2025-08-01,ALB,cohort_high_beta,market
2025-08-08,ALB,cohort_high_beta,market
2025-08-15,ALB,cohort_high_beta,market
2025-08-22,ALB,cohort_high_beta,market
2025-08-29,ALB,cohort_high_beta,market
2025-09-05,ALB,cohort_high_beta,market
2025-09-12,ALB,cohort_high_beta,market
2025-09-19,ALB,cohort_high_beta,market
2025-09-26,ALB,cohort_high_beta,market
2025-10-03,ALB,cohort_high_beta,market
2025-10-10,ALB,cohort_high_beta,market
2025-10-17,ALB,cohort_high_beta,market
2025-10-24,ALB,cohort_high_beta,market
2025-10-31,ALB,cohort_high_beta,market
2025-11-07,ALB,cohort_high_beta,market
2025-11-14,ALB,cohort_high_beta,market
2025-11-21,ALB,cohort_high_beta,market
2025-11-28,ALB,cohort_high_beta,market
2025-12-05,ALB,cohort_high_beta,market
2025-12-12,ALB,cohort_high_beta,market
2025-12-19,ALB,cohort_high_beta,market
2025-12-26,ALB,cohort_high_beta,market
2026-01-02,ALB,cohort_high_beta,market
2026-01-09,ALB,cohort_high_beta,market
2026-01-16,ALB,cohort_high_beta,market
2026-01-23,ALB,cohort_high_beta,market
2026-01-30,ALB,cohort_high_beta,market
2026-02-06,ALB,cohort_high_beta,market
2026-02-13,ALB,cohort_high_beta,market
2026-02-20,ALB,cohort_high_beta,market
2026-02-27,ALB,cohort_high_beta,market
2026-03-06,ALB,cohort_high_beta,market
2026-03-13,ALB,cohort_high_beta,market
2026-03-20,ALB,cohort_high_beta,market
2026-03-27,ALB,cohort_high_beta,market
2026-04-02,ALB,cohort_high_beta,market
2026-04-10,ALB,cohort_high_beta,market
2026-04-17,ALB,cohort_high_beta,market
2026-04-24,ALB,cohort_high_beta,market
2026-05-01,ALB,cohort_high_beta,market
2026-05-08,ALB,cohort_high_beta,market
2026-05-15,ALB,cohort_high_beta,market
2026-05-22,ALB,cohort_high_beta,market
2024-05-31,ALGN,cohort_high_beta,market
2024-06-07,ALGN,cohort_high_beta,market
2024-06-14,ALGN,cohort_high_beta,market
2024-06-21,ALGN,cohort_high_beta,market
2024-06-28,ALGN,cohort_high_beta,market
2024-07-05,ALGN,cohort_high_beta,market
2024-07-12,ALGN,cohort_high_beta,market
2024-07-19,ALGN,cohort_high_beta,market
2024-07-26,ALGN,cohort_high_beta,market
2024-08-02,ALGN,cohort_high_beta,market
2024-08-09,ALGN,cohort_high_beta,market
2024-08-16,ALGN,cohort_high_beta,market
2024-08-23,ALGN,cohort_high_beta,market
2024-08-30,ALGN,cohort_high_beta,market
2024-09-06,ALGN,cohort_high_beta,market
2024-09-13,ALGN,cohort_high_beta,market
2024-09-20,ALGN,cohort_high_beta,market
2024-09-27,ALGN,cohort_high_beta,market
2024-10-04,ALGN,cohort_high_beta,market
2024-10-11,ALGN,cohort_high_beta,market
2024-10-18,ALGN,cohort_high_beta,market
2024-10-25,ALGN,cohort_high_beta,market
2024-11-01,ALGN,cohort_high_beta,market
2024-11-08,ALGN,cohort_high_beta,market
2024-11-15,ALGN,cohort_high_beta,market
2024-11-22,ALGN,cohort_high_beta,market
2024-11-29,ALGN,cohort_high_beta,market
2024-12-06,ALGN,cohort_high_beta,market
2024-12-13,ALGN,cohort_high_beta,market
2024-12-20,ALGN,cohort_high_beta,market
2024-12-27,ALGN,cohort_high_beta,market
2025-01-03,ALGN,cohort_high_beta,market
2025-01-10,ALGN,cohort_high_beta,market
2025-01-17,ALGN,cohort_high_beta,market
2025-01-24,ALGN,cohort_high_beta,market
2025-01-31,ALGN,cohort_high_beta,market
2025-02-07,ALGN,cohort_high_beta,market
2025-02-14,ALGN,cohort_high_beta,market
2025-02-21,ALGN,cohort_high_beta,market
2025-02-28,ALGN,cohort_high_beta,market
2025-03-07,ALGN,cohort_high_beta,market
2025-03-14,ALGN,cohort_high_beta,market
2025-03-21,ALGN,cohort_high_beta,market
2025-03-28,ALGN,cohort_high_beta,market
2025-04-04,ALGN,cohort_high_beta,market
2025-04-11,ALGN,cohort_high_beta,market
2025-04-17,ALGN,cohort_high_beta,market
2025-04-25,ALGN,cohort_high_beta,market
2025-05-02,ALGN,cohort_high_beta,market
2025-05-09,ALGN,cohort_high_beta,market
2025-05-16,ALGN,cohort_high_beta,market
2025-05-23,ALGN,cohort_high_beta,market
2025-05-30,ALGN,cohort_high_beta,market
2025-06-06,ALGN,cohort_high_beta,market
2025-06-13,ALGN,cohort_high_beta,market
2025-06-20,ALGN,cohort_high_beta,market
2025-06-27,ALGN,cohort_high_beta,market
2025-07-03,ALGN,cohort_high_beta,market
2025-07-11,ALGN,cohort_high_beta,market
2025-07-18,ALGN,cohort_high_beta,market
2025-07-25,ALGN,cohort_high_beta,market
2025-08-01,ALGN,cohort_high_beta,market
2025-08-08,ALGN,cohort_high_beta,market
2025-08-15,ALGN,cohort_high_beta,market
2025-08-22,ALGN,cohort_high_beta,market
2025-08-29,ALGN,cohort_high_beta,market
2025-09-05,ALGN,cohort_high_beta,market
2025-09-12,ALGN,cohort_high_beta,market
2025-09-19,ALGN,cohort_high_beta,market
2025-09-26,ALGN,cohort_high_beta,market
2025-10-03,ALGN,cohort_high_beta,market
2025-10-10,ALGN,cohort_high_beta,market
2025-10-17,ALGN,cohort_high_beta,market
2025-10-24,ALGN,cohort_high_beta,market
2025-10-31,ALGN,cohort_high_beta,market
2025-11-07,ALGN,cohort_high_beta,market
2025-11-14,ALGN,cohort_high_beta,market
2025-11-21,ALGN,cohort_high_beta,market
2025-11-28,ALGN,cohort_high_beta,market
2025-12-05,ALGN,cohort_high_beta,market
2025-12-12,ALGN,cohort_high_beta,market
2025-12-19,ALGN,cohort_high_beta,market
2025-12-26,ALGN,cohort_high_beta,market
2026-01-02,ALGN,cohort_high_beta,market
2026-01-09,ALGN,cohort_high_beta,market
2026-04-10,ALGN,cohort_high_beta,market
2026-04-17,ALGN,cohort_high_beta,market
2026-04-24,ALGN,cohort_high_beta,market
2026-05-01,ALGN,cohort_high_beta,market
2026-05-08,ALGN,cohort_high_beta,market
2026-05-15,ALGN,cohort_high_beta,market
2026-05-22,ALGN,cohort_high_beta,market
2024-05-31,AMAT,cohort_high_beta,market
2024-06-07,AMAT,cohort_high_beta,market
2024-06-14,AMAT,cohort_high_beta,market
2024-06-21,AMAT,cohort_high_beta,market
2024-06-28,AMAT,cohort_high_beta,market
2024-07-05,AMAT,cohort_high_beta,market
2024-07-12,AMAT,cohort_high_beta,market
2024-07-19,AMAT,cohort_high_beta,market
2024-07-26,AMAT,cohort_high_beta,market
2024-08-02,AMAT,cohort_high_beta,market
2024-08-09,AMAT,cohort_high_beta,market
2024-08-16,AMAT,cohort_high_beta,market
2024-08-23,AMAT,cohort_high_beta,market
2024-08-30,AMAT,cohort_high_beta,market
2024-09-06,AMAT,cohort_high_beta,market
2024-09-13,AMAT,cohort_high_beta,market
2024-09-20,AMAT,cohort_high_beta,market
2024-09-27,AMAT,cohort_high_beta,market
2024-10-04,AMAT,cohort_high_beta,market
2024-10-11,AMAT,cohort_high_beta,market
2024-10-18,AMAT,cohort_high_beta,market
2024-10-25,AMAT,cohort_high_beta,market
2024-11-01,AMAT,cohort_high_beta,market
2024-11-08,AMAT,cohort_high_beta,market
2024-11-15,AMAT,cohort_high_beta,market
2024-11-22,AMAT,cohort_high_beta,market
2024-11-29,AMAT,cohort_high_beta,market
2024-12-06,AMAT,cohort_high_beta,market
2024-12-13,AMAT,cohort_high_beta,market
2024-12-20,AMAT,cohort_high_beta,market
2024-12-27,AMAT,cohort_high_beta,market
2025-01-03,AMAT,cohort_high_beta,market
2025-01-10,AMAT,cohort_high_beta,market
2025-01-17,AMAT,cohort_high_beta,market
2025-01-24,AMAT,cohort_high_beta,market
2025-01-31,AMAT,cohort_high_beta,market
2025-02-07,AMAT,cohort_high_beta,market
2025-02-14,AMAT,cohort_high_beta,market
2025-02-21,AMAT,cohort_high_beta,market
2025-02-28,AMAT,cohort_high_beta,market
2025-03-07,AMAT,cohort_high_beta,market
2025-03-14,AMAT,cohort_high_beta,market
2025-03-21,AMAT,cohort_high_beta,market
2025-03-28,AMAT,cohort_high_beta,market
2025-04-04,AMAT,cohort_high_beta,market
2025-04-11,AMAT,cohort_high_beta,market
2025-04-17,AMAT,cohort_high_beta,market
