endpoint,ticker,status,rows,requests_made
fundamentals,SNDK,CACHED,0,0
fundamentals,SNOW,CACHED,0,0
fundamentals,SNPS,CACHED,0,0
fundamentals,SNY,CACHED,0,0
fundamentals,SO,CACHED,0,0
fundamentals,SOLV,CACHED,0,0
fundamentals,SONY,CACHED,0,0
fundamentals,SPG,CACHED,0,0
fundamentals,SPGI,CACHED,0,0
fundamentals,SPOT,CACHED,0,0
fundamentals,SRE,CACHED,0,0
fundamentals,STE,CACHED,0,0
fundamentals,STLD,CACHED,0,0
fundamentals,STM,CACHED,0,0
fundamentals,STT,CACHED,0,0
fundamentals,STX,CACHED,0,0
fundamentals,STZ,CACHED,0,0
fundamentals,SU,CACHED,0,0
fundamentals,SW,CACHED,0,0
fundamentals,SWK,CACHED,0,0
fundamentals,SWKS,CACHED,0,0
fundamentals,SYK,CACHED,0,0
fundamentals,T,CACHED,0,0
fundamentals,TAP,CACHED,0,0
fundamentals,TD,CACHED,0,0
fundamentals,TDG,CACHED,0,0
fundamentals,TECH,CACHED,0,0
fundamentals,TEL,CACHED,0,0
fundamentals,TER,CACHED,0,0
fundamentals,TFC,CACHED,0,0
fundamentals,TGT,CACHED,0,0
fundamentals,TJX,CACHED,0,0
fundamentals,TM,CACHED,0,0
fundamentals,TMO,CACHED,0,0
fundamentals,TMUS,CACHED,0,0
fundamentals,TRGP,CACHED,0,0
fundamentals,TRP,CACHED,0,0
fundamentals,TRV,CACHED,0,0
fundamentals,TSLA,CACHED,0,0
fundamentals,TT,CACHED,0,0
fundamentals,TTE,CACHED,0,0
fundamentals,TXN,CACHED,0,0
fundamentals,UBER,CACHED,0,0
fundamentals,UBS,CACHED,0,0
fundamentals,UL,CACHED,0,0
fundamentals,UNH,CACHED,0,0
fundamentals,UNP,CACHED,0,0
fundamentals,UPS,CACHED,0,0
fundamentals,URI,CACHED,0,0
fundamentals,USB,CACHED,0,0
fundamentals,V,CACHED,0,0
fundamentals,VALE,CACHED,0,0
fundamentals,VLO,CACHED,0,0
fundamentals,VRT,CACHED,0,0
fundamentals,VRTX,CACHED,0,0
fundamentals,VZ,CACHED,0,0
fundamentals,WBD,CACHED,0,0
fundamentals,WDC,CACHED,0,0
fundamentals,WELL,CACHED,0,0
fundamentals,WFC,CACHED,0,0
fundamentals,WM,CACHED,0,0
fundamentals,WMB,CACHED,0,0
fundamentals,WMT,CACHED,0,0
fundamentals,XOM,CACHED,0,0
fundamentals,XYZ,CACHED,0,0
sentiments,A,CACHED,0,0
sentiments,AAPL,CACHED,0,0
sentiments,ABBV,CACHED,0,0
sentiments,ABNB,CACHED,0,0
sentiments,ABT,CACHED,0,0
sentiments,ACGL,CACHED,0,0
sentiments,ACN,CACHED,0,0
sentiments,ADBE,CACHED,0,0
sentiments,ADI,CACHED,0,0
sentiments,ADM,CACHED,0,0
sentiments,ADP,CACHED,0,0
sentiments,ADSK,CACHED,0,0
sentiments,AEE,CACHED,0,0
sentiments,AEM,CACHED,0,0
sentiments,AEP,CACHED,0,0
sentiments,AES,CACHED,0,0
sentiments,AFL,CACHED,0,0
sentiments,AIG,CACHED,0,0
sentiments,AIZ,CACHED,0,0
sentiments,AJG,CACHED,0,0
sentiments,AKAM,CACHED,0,0
sentiments,ALAB,CACHED,0,0
sentiments,ALB,CACHED,0,0
sentiments,ALGN,CACHED,0,0
sentiments,ALL,CACHED,0,0
sentiments,ALLE,CACHED,0,0
sentiments,AMAT,CACHED,0,0
sentiments,AMCR,CACHED,0,0
sentiments,AMD,CACHED,0,0
sentiments,AME,CACHED,0,0
sentiments,AMGN,CACHED,0,0
sentiments,AMP,CACHED,0,0
sentiments,AMT,CACHED,0,0
sentiments,AMX,CACHED,0,0
sentiments,AMZN,CACHED,0,0
sentiments,ANET,CACHED,0,0
sentiments,AON,CACHED,0,0
sentiments,AOS,CACHED,0,0
sentiments,APA,CACHED,0,0
sentiments,APD,CACHED,0,0
sentiments,APH,CACHED,0,0
sentiments,APO,CACHED,0,0
sentiments,APP,CACHED,0,0
sentiments,APTV,CACHED,0,0
sentiments,ARE,CACHED,0,0
sentiments,ARES,CACHED,0,0
sentiments,ARM,CACHED,0,0
sentiments,ASML,CACHED,0,0
sentiments,ASX,CACHED,0,0
sentiments,ATEYY,CACHED,0,0
sentiments,ATO,CACHED,0,0
sentiments,AVB,CACHED,0,0
sentiments,AVGO,CACHED,0,0
sentiments,AVY,CACHED,0,0
sentiments,AWK,CACHED,0,0
sentiments,AXON,CACHED,0,0
sentiments,AXP,CACHED,0,0
sentiments,AZN,CACHED,0,0
sentiments,AZO,CACHED,0,0
sentiments,B,CACHED,0,0
sentiments,BA,CACHED,0,0
sentiments,BABA,CACHED,0,0
sentiments,BAC,CACHED,0,0
sentiments,BAESY,CACHED,0,0
sentiments,BALL,CACHED,0,0
sentiments,BAM,CACHED,0,0
sentiments,BAX,CACHED,0,0
sentiments,BBVA,CACHED,0,0
sentiments,BBY,CACHED,0,0
sentiments,BCS,CACHED,0,0
sentiments,BDX,CACHED,0,0
sentiments,BE,CACHED,0,0
sentiments,BEN,CACHED,0,0
sentiments,BG,CACHED,0,0
sentiments,BHP,CACHED,0,0
sentiments,BIIB,CACHED,0,0
sentiments,BKNG,CACHED,0,0
sentiments,BKR,CACHED,0,0
sentiments,BLDR,CACHED,0,0
sentiments,BLK,CACHED,0,0
sentiments,BMO,CACHED,0,0
sentiments,BMY,CACHED,0,0
sentiments,BN,CACHED,0,0
sentiments,BNS,CACHED,0,0
sentiments,BNY,CACHED,0,0
sentiments,BP,CACHED,0,0
sentiments,BR,CACHED,0,0
sentiments,BRO,CACHED,0,0
sentiments,BSX,CACHED,0,0
sentiments,BTI,CACHED,0,0
sentiments,BUD,CACHED,0,0
sentiments,BX,CACHED,0,0
sentiments,BXP,CACHED,0,0
sentiments,C,CACHED,0,0
sentiments,CAG,CACHED,0,0
sentiments,CAH,CACHED,0,0
sentiments,CARR,CACHED,0,0
sentiments,CASY,CACHED,0,0
sentiments,CAT,CACHED,0,0
sentiments,CB,CACHED,0,0
sentiments,CBOE,CACHED,0,0
sentiments,CBRE,CACHED,0,0
sentiments,CCI,CACHED,0,0
sentiments,CCL,CACHED,0,0
sentiments,CDNS,CACHED,0,0
sentiments,CDW,CACHED,0,0
sentiments,CEG,CACHED,0,0
sentiments,CF,CACHED,0,0
sentiments,CFG,CACHED,0,0
sentiments,CHD,CACHED,0,0
sentiments,CHRW,CACHED,0,0
sentiments,CHTR,CACHED,0,0
sentiments,CI,CACHED,0,0
sentiments,CIEN,CACHED,0,0
sentiments,CINF,CACHED,0,0
sentiments,CL,CACHED,0,0
sentiments,CLX,CACHED,0,0
sentiments,CM,CACHED,0,0
sentiments,CMCSA,CACHED,0,0
sentiments,CME,CACHED,0,0
sentiments,CMG,CACHED,0,0
sentiments,CMI,CACHED,0,0
sentiments,CMS,CACHED,0,0
sentiments,CNC,CACHED,0,0
sentiments,CNI,CACHED,0,0
sentiments,CNP,CACHED,0,0
sentiments,CNQ,CACHED,0,0
sentiments,COF,CACHED,0,0
sentiments,COHR,CACHED,0,0
sentiments,COIN,CACHED,0,0
sentiments,COO,CACHED,0,0
sentiments,COP,CACHED,0,0
sentiments,COR,CACHED,0,0
sentiments,COST,CACHED,0,0
sentiments,CP,CACHED,0,0
sentiments,CPAY,CACHED,0,0
sentiments,CPRT,CACHED,0,0
sentiments,CPT,CACHED,0,0
sentiments,CRH,CACHED,0,0
sentiments,CRL,CACHED,0,0
sentiments,CRM,CACHED,0,0
sentiments,CRWD,CACHED,0,0
sentiments,CSCO,CACHED,0,0
sentiments,CSGP,CACHED,0,0
sentiments,CSX,CACHED,0,0
sentiments,CTAS,CACHED,0,0
sentiments,CTSH,CACHED,0,0
sentiments,CTVA,CACHED,0,0
sentiments,CVNA,CACHED,0,0
sentiments,CVS,CACHED,0,0
