name,kind,first_half_ic,second_half_ic,subperiod_stable,n_months
f_accel_sn,scenario,0.0253,0.0253,True,120
f_lag1_raw,scenario,0.0018,-0.0026,False,120
f_lag1_sn,scenario,-0.0147,-0.002,False,120
f_rmean_5_raw,scenario,0.0238,0.0057,True,120
f_rmean_5_sn,scenario,0.0069,0.0088,True,120
f_rstd_5_raw,scenario,0.001,-0.0064,False,120
f_rstd_5_sn,scenario,0.0125,-0.0002,False,120
f_rchg_5_raw,scenario,0.0007,0.0345,True,120
f_rchg_5_sn,scenario,0.009,0.0208,True,120
f_rmean_21_raw,scenario,0.0252,0.0036,True,120
f_rmean_21_sn,scenario,0.0103,-0.0,False,120
f_rstd_21_raw,scenario,0.0121,-0.0097,False,120
f_rstd_21_sn,scenario,0.0201,-0.0067,False,120
f_rchg_21_raw,scenario,0.0065,0.0404,True,120
f_rchg_21_sn,scenario,0.0137,0.0293,True,120
f_rmean_63_raw,scenario,0.0225,-0.0017,False,120
f_rmean_63_sn,scenario,0.012,-0.0015,False,120
f_rstd_63_raw,scenario,0.0212,-0.0218,False,120
f_rstd_63_sn,scenario,0.0311,-0.0198,False,120
f_rchg_63_raw,scenario,0.0009,0.0449,True,120
f_rchg_63_sn,scenario,0.0015,0.0392,True,120
f_z_raw,scenario,0.0167,0.035,True,120
f_z_sn,scenario,0.0134,0.0335,True,120
f_sector_z_raw,scenario,0.0109,0.033,True,120
f_sector_z_sn,scenario,0.0109,0.033,True,120
f_rank_raw,scenario,0.0167,0.035,True,120
f_rank_sn,scenario,0.0126,0.0342,True,120
f_winz_raw,scenario,0.0168,0.035,True,120
f_winz_sn,scenario,0.013,0.0343,True,120
f_x_surprise_raw,scenario,-0.0045,-0.0144,False,120
f_x_surprise_sn,scenario,-0.0102,-0.0057,False,120
f_x_quality_raw,scenario,0.0048,0.0016,True,120
f_x_quality_sn,scenario,-0.0029,-0.0013,False,120
f_x_value_raw,scenario,0.0083,-0.04,False,120
f_x_value_sn,scenario,0.0077,-0.0296,False,120
f_x_mom_raw,scenario,0.0004,0.0135,True,119
f_x_mom_sn,scenario,-0.0021,-0.0066,False,119
orthogonal_blend__ic_weighted,model,0.004,0.0031,True,96
orthogonal_blend__equal,model,0.0197,-0.0062,False,96
f_level_raw,scenario,0.0053,0.0468,True,120
f_level_sn,scenario,0.0182,0.0523,True,120
f_chg1_raw,scenario,0.0049,0.0383,True,120
f_chg1_sn,scenario,0.008,0.0345,True,120
f_accel_raw,scenario,0.0156,-0.0056,False,120
f_accel_sn,scenario,0.0228,0.014,True,120
f_lag1_raw,scenario,0.0008,0.022,True,120
f_lag1_sn,scenario,0.0061,0.014,True,120
f_rmean_5_raw,scenario,0.0205,-0.0071,False,120
f_rmean_5_sn,scenario,0.0247,0.0076,True,120
f_rstd_5_raw,scenario,0.0086,0.0124,True,120
f_rstd_5_sn,scenario,0.007,0.0268,True,120
f_rchg_5_raw,scenario,-0.033,0.0335,False,120
f_rchg_5_sn,scenario,-0.0233,0.0246,False,120
f_rmean_21_raw,scenario,0.0207,0.0064,True,120
f_rmean_21_sn,scenario,0.0001,0.0064,True,120
f_rstd_21_raw,scenario,-0.0029,0.005,False,120
f_rstd_21_sn,scenario,-0.0032,0.008,False,120
f_rchg_21_raw,scenario,-0.0273,0.0185,False,120
f_rchg_21_sn,scenario,0.0025,0.0202,True,120
f_rmean_63_raw,scenario,0.0248,0.0136,True,120
f_rmean_63_sn,scenario,0.0077,0.0135,True,120
f_rstd_63_raw,scenario,-0.0067,0.0018,False,120
f_rstd_63_sn,scenario,0.0027,0.0117,True,120
f_rchg_63_raw,scenario,-0.0202,0.0168,False,120
f_rchg_63_sn,scenario,0.0059,0.0127,True,120
f_z_raw,scenario,0.0053,0.0468,True,120
f_z_sn,scenario,0.0182,0.0523,True,120
f_sector_z_raw,scenario,-0.0024,0.0555,False,120
f_sector_z_sn,scenario,-0.0024,0.0554,False,120
f_rank_raw,scenario,0.0053,0.0468,True,120
f_rank_sn,scenario,0.0048,0.045,True,120
f_winz_raw,scenario,0.0053,0.0468,True,120
f_winz_sn,scenario,0.0115,0.0553,True,120
f_x_surprise_raw,scenario,-0.0095,0.0071,False,120
f_x_surprise_sn,scenario,0.0111,0.0071,True,120
f_x_quality_raw,scenario,-0.0314,-0.0164,False,120
f_x_quality_sn,scenario,-0.0281,-0.0138,False,120
f_x_value_raw,scenario,0.0063,-0.0123,False,120
