name,kind,top_sector,top_sector_share,hhi,single_sector_dominated
f_rchg_63_sn,scenario,Unknown,0.5555,0.3734,False
f_z_raw,scenario,Unknown,0.7299,0.5438,True
f_z_sn,scenario,Unknown,0.4723,0.2846,False
f_sector_z_raw,scenario,Unknown,0.362,0.1889,False
f_sector_z_sn,scenario,Unknown,0.362,0.1889,False
f_rank_raw,scenario,Unknown,0.7299,0.5438,True
f_rank_sn,scenario,Unknown,0.7645,0.5955,True
f_winz_raw,scenario,Unknown,0.7299,0.5438,True
f_winz_sn,scenario,Unknown,0.6268,0.4156,True
f_x_surprise_raw,scenario,Unknown,0.662,0.457,True
f_x_surprise_sn,scenario,Unknown,0.6096,0.4079,True
f_x_quality_raw,scenario,Unknown,0.693,0.4949,True
f_x_quality_sn,scenario,Unknown,0.5749,0.3794,False
f_x_value_raw,scenario,Unknown,0.5863,0.3748,False
f_x_value_sn,scenario,Unknown,0.5295,0.3561,False
f_x_mom_raw,scenario,Unknown,0.7709,0.6019,True
f_x_mom_sn,scenario,Unknown,0.7526,0.5765,True
orthogonal_blend__ic_weighted,model,Unknown,0.8037,0.6529,True
orthogonal_blend__equal,model,Unknown,0.7914,0.6336,True
f_level_raw,scenario,Unknown,0.5438,0.3281,False
f_level_sn,scenario,Unknown,0.6199,0.4085,True
f_chg1_raw,scenario,Unknown,0.6075,0.3932,True
f_chg1_sn,scenario,Unknown,0.5721,0.3643,False
f_accel_raw,scenario,Unknown,0.6758,0.4749,True
f_accel_sn,scenario,Unknown,0.5932,0.3896,False
f_lag1_raw,scenario,Unknown,0.5874,0.3733,False
f_lag1_sn,scenario,Unknown,0.6248,0.4143,True
f_rmean_5_raw,scenario,Unknown,0.5602,0.3439,False
f_rmean_5_sn,scenario,Unknown,0.6322,0.4215,True
f_rstd_5_raw,scenario,Unknown,0.6144,0.4012,True
f_rstd_5_sn,scenario,Unknown,0.5626,0.3453,False
f_rchg_5_raw,scenario,Unknown,0.6343,0.4242,True
f_rchg_5_sn,scenario,Unknown,0.6474,0.4386,True
f_rmean_21_raw,scenario,Unknown,0.5881,0.3788,False
f_rmean_21_sn,scenario,Unknown,0.8988,0.8096,True
f_rstd_21_raw,scenario,Unknown,0.6647,0.4622,True
f_rstd_21_sn,scenario,Unknown,0.3195,0.1589,False
f_rchg_21_raw,scenario,Unknown,0.5788,0.3618,False
f_rchg_21_sn,scenario,Unknown,0.3746,0.1968,False
f_rmean_63_raw,scenario,Unknown,0.5978,0.3908,False
f_rmean_63_sn,scenario,Unknown,0.9451,0.8937,True
f_rstd_63_raw,scenario,Unknown,0.634,0.4287,True
f_rstd_63_sn,scenario,Unknown,0.1736,0.115,False
f_rchg_63_raw,scenario,Unknown,0.5746,0.3578,False
f_rchg_63_sn,scenario,Unknown,0.1773,0.1193,False
f_z_raw,scenario,Unknown,0.5438,0.3281,False
f_z_sn,scenario,Unknown,0.6199,0.4085,True
f_sector_z_raw,scenario,Unknown,0.5109,0.2913,False
f_sector_z_sn,scenario,Unknown,0.5109,0.2913,False
f_rank_raw,scenario,Unknown,0.5438,0.3281,False
f_rank_sn,scenario,Unknown,0.6539,0.4496,True
f_winz_raw,scenario,Unknown,0.5438,0.3281,False
f_winz_sn,scenario,Unknown,0.6187,0.4073,True
f_x_surprise_raw,scenario,Unknown,0.6477,0.4362,True
f_x_surprise_sn,scenario,Unknown,0.6125,0.3948,True
f_x_quality_raw,scenario,Unknown,0.5874,0.3739,False
f_x_quality_sn,scenario,Unknown,0.5069,0.3209,False
f_x_value_raw,scenario,Unknown,0.637,0.4245,True
f_x_value_sn,scenario,Unknown,0.5692,0.3576,False
f_x_mom_raw,scenario,Unknown,0.7714,0.6024,True
f_x_mom_sn,scenario,Unknown,0.7355,0.5526,True
orthogonal_blend__ic_weighted,model,Unknown,0.7964,0.6415,True
orthogonal_blend__equal,model,Unknown,0.8086,0.6601,True
f_level_raw,scenario,Unknown,0.5025,0.3123,False
f_level_sn,scenario,Unknown,0.5974,0.3794,False
f_chg1_raw,scenario,Unknown,0.6278,0.4218,True
f_chg1_sn,scenario,Unknown,0.6331,0.4238,True
f_accel_raw,scenario,Unknown,0.6186,0.4075,True
f_accel_sn,scenario,Unknown,0.6168,0.4059,True
f_lag1_raw,scenario,Unknown,0.5184,0.3123,False
f_lag1_sn,scenario,Unknown,0.6256,0.4123,True
f_rmean_5_raw,scenario,Unknown,0.4356,0.2716,False
f_rmean_5_sn,scenario,Unknown,0.5798,0.3606,False
f_rstd_5_raw,scenario,Unknown,0.6069,0.3991,True
f_rstd_5_sn,scenario,Unknown,0.582,0.3634,False
f_rchg_5_raw,scenario,Unknown,0.6362,0.4308,True
f_rchg_5_sn,scenario,Unknown,0.6745,0.4714,True
f_rmean_21_raw,scenario,Unknown,0.4593,0.2875,False
f_rmean_21_sn,scenario,Unknown,0.5368,0.3184,False
f_rstd_21_raw,scenario,Unknown,0.6449,0.4414,True
f_rstd_21_sn,scenario,Unknown,0.4697,0.2611,False
f_rchg_21_raw,scenario,Unknown,0.6573,0.4537,True
f_rchg_21_sn,scenario,Unknown,0.6961,0.4994,True
f_rmean_63_raw,scenario,Unknown,0.4658,0.2895,False
f_rmean_63_sn,scenario,Unknown,0.4276,0.2281,False
f_rstd_63_raw,scenario,Unknown,0.6853,0.4873,True
f_rstd_63_sn,scenario,Unknown,0.4098,0.2136,False
f_rchg_63_raw,scenario,Unknown,0.653,0.4461,True
f_rchg_63_sn,scenario,Unknown,0.6916,0.4926,True
f_z_raw,scenario,Unknown,0.5025,0.3123,False
f_z_sn,scenario,Unknown,0.5974,0.3794,False
f_sector_z_raw,scenario,Unknown,0.5467,0.3229,False
f_sector_z_sn,scenario,Unknown,0.5467,0.3229,False
f_rank_raw,scenario,Unknown,0.5025,0.3123,False
f_rank_sn,scenario,Unknown,0.7219,0.5343,True
f_winz_raw,scenario,Unknown,0.5025,0.3123,False
f_winz_sn,scenario,Unknown,0.6161,0.4003,True
f_x_surprise_raw,scenario,Unknown,0.6805,0.4771,True
f_x_surprise_sn,scenario,Unknown,0.5622,0.3578,False
f_x_quality_raw,scenario,Unknown,0.5447,0.3412,False
f_x_quality_sn,scenario,Unknown,0.4102,0.2466,False
f_x_value_raw,scenario,Unknown,0.6255,0.4092,True
f_x_value_sn,scenario,Unknown,0.5665,0.3573,False
f_x_mom_raw,scenario,Unknown,0.7634,0.5909,True
f_x_mom_sn,scenario,Unknown,0.7299,0.5443,True
orthogonal_blend__ic_weighted,model,Unknown,0.7906,0.6323,True
orthogonal_blend__equal,model,Unknown,0.7935,0.6366,True
f_level_raw,scenario,Unknown,0.6223,0.4118,True
f_level_sn,scenario,Unknown,0.5443,0.327,False
f_chg1_raw,scenario,Unknown,0.7475,0.5695,True
f_chg1_sn,scenario,Unknown,0.526,0.3414,False
f_accel_raw,scenario,Unknown,0.7133,0.5226,True
f_accel_sn,scenario,Unknown,0.5537,0.3397,False
f_lag1_raw,scenario,Unknown,0.6417,0.4349,True
f_lag1_sn,scenario,Unknown,0.4798,0.2667,False
f_rmean_5_raw,scenario,Unknown,0.656,0.4505,True
f_rmean_5_sn,scenario,Unknown,0.4351,0.2318,False
f_rstd_5_raw,scenario,Unknown,0.8046,0.6538,True
f_rstd_5_sn,scenario,Unknown,0.4351,0.2288,False
f_rchg_5_raw,scenario,Unknown,0.7066,0.5122,True
f_rchg_5_sn,scenario,Unknown,0.5614,0.3623,False
f_rmean_21_raw,scenario,Unknown,0.6933,0.5058,True
f_rmean_21_sn,scenario,Industrials,0.2107,0.1265,False
f_rstd_21_raw,scenario,Unknown,0.7277,0.5471,True
f_rstd_21_sn,scenario,Industrials,0.1874,0.1186,False
f_rchg_21_raw,scenario,Unknown,0.6896,0.4883,True
f_rchg_21_sn,scenario,Unknown,0.8462,0.7241,True
f_rmean_63_raw,scenario,Unknown,0.6824,0.493,True
f_rmean_63_sn,scenario,Industrials,0.2214,0.1322,False
f_rstd_63_raw,scenario,Unknown,0.6914,0.5019,True
f_rstd_63_sn,scenario,Industrials,0.2282,0.1265,False
f_rchg_63_raw,scenario,Unknown,0.6877,0.4871,True
f_rchg_63_sn,scenario,Unknown,0.8259,0.6933,True
f_z_raw,scenario,Unknown,0.6223,0.4118,True
f_z_sn,scenario,Unknown,0.5443,0.327,False
f_sector_z_raw,scenario,Unknown,0.3911,0.1972,False
f_sector_z_sn,scenario,Unknown,0.3911,0.1972,False
f_rank_raw,scenario,Unknown,0.6223,0.4118,True
f_rank_sn,scenario,Unknown,0.767,0.6005,True
f_winz_raw,scenario,Unknown,0.6223,0.4118,True
f_winz_sn,scenario,Unknown,0.6351,0.4252,True
f_x_surprise_raw,scenario,Unknown,0.736,0.5508,True
f_x_surprise_sn,scenario,Unknown,0.7224,0.534,True
f_x_quality_raw,scenario,Unknown,0.6676,0.4657,True
f_x_quality_sn,scenario,Unknown,0.668,0.4676,True
f_x_value_raw,scenario,Unknown,0.7243,0.5349,True
f_x_value_sn,scenario,Unknown,0.5508,0.3323,False
f_x_mom_raw,scenario,Unknown,0.817,0.6721,True
f_x_mom_sn,scenario,Unknown,0.7684,0.5987,True
orthogonal_blend__ic_weighted,model,Unknown,0.7961,0.6408,True
orthogonal_blend__equal,model,Unknown,0.8034,0.6517,True
f_level_raw,scenario,Unknown,0.6366,0.4278,True
f_level_sn,scenario,Unknown,0.6871,0.4925,True
f_chg1_raw,scenario,Unknown,0.715,0.5243,True
f_chg1_sn,scenario,Unknown,0.667,0.4634,True
f_accel_raw,scenario,Unknown,0.6988,0.5074,True
f_accel_sn,scenario,Unknown,0.6447,0.4377,True
f_lag1_raw,scenario,Unknown,0.6674,0.4676,True
f_lag1_sn,scenario,Unknown,0.7581,0.5898,True
f_rmean_5_raw,scenario,Unknown,0.6815,0.4853,True
f_rmean_5_sn,scenario,Unknown,0.8694,0.7587,True
f_rstd_5_raw,scenario,Unknown,0.7094,0.5166,True
f_rstd_5_sn,scenario,Unknown,0.7,0.5044,True
