candidate,neutralization,horizon,slice,n_months,mean_ic,ic_t,net25,gross_spread,long_only,maxdd
rev_1m,raw,fwd_1m,dev,324,0.0171,2.817,0.00308,0.00732,0.01294,-0.72477
rev_1m,raw,fwd_1m,val,48,0.02605,1.703,0.01208,0.01632,0.02367,-0.21392
rev_1m,raw,fwd_1m,holdout,59,-0.03203,-2.297,-0.01536,-0.01124,-0.00079,-0.94706
rev_1m,raw,fwd_1m,pre2020,354,0.01838,3.194,0.00319,0.00744,0.01254,-0.72477
rev_1m,raw,fwd_1m,post2020,77,-0.02085,-1.641,-0.00597,-0.00181,0.01093,-0.94706
rev_1m,raw,fwd_3m,full,429,-0.00464,-0.933,-0.00924,-0.00501,0.02258,-4.58289
rev_1m,raw,fwd_3m,dev,324,0.00034,0.058,-0.00782,-0.00357,0.02346,-3.26408
rev_1m,raw,fwd_3m,val,48,-0.0068,-0.461,-0.0001,0.00414,0.04475,-0.39523
rev_1m,raw,fwd_3m,holdout,57,-0.03112,-2.543,-0.02505,-0.02092,-0.00108,-1.68401
rev_1m,raw,fwd_3m,pre2020,354,0.00031,0.057,-0.00731,-0.00306,0.02122,-3.26408
rev_1m,raw,fwd_3m,post2020,75,-0.028,-2.296,-0.01838,-0.01421,0.02901,-1.81352
rev_1m,raw,fwd_6m,full,426,-0.01498,-3.158,-0.022,-0.01777,0.04134,-9.98042
rev_1m,raw,fwd_6m,dev,324,-0.00911,-1.65,-0.01974,-0.01549,0.04483,-6.90303
rev_1m,raw,fwd_6m,val,48,-0.01833,-1.366,-0.0121,-0.00785,0.07583,-0.81609
rev_1m,raw,fwd_6m,holdout,54,-0.04722,-3.939,-0.04438,-0.04025,-0.01024,-2.57361
rev_1m,raw,fwd_6m,pre2020,354,-0.00917,-1.782,-0.01878,-0.01453,0.03945,-7.46548
rev_1m,raw,fwd_6m,post2020,72,-0.04354,-3.742,-0.03784,-0.03368,0.0506,-2.90543
rev_1m,sector_neutral,fwd_1m,full,431,0.01552,3.681,0.00416,0.00846,0.0136,-0.87999
rev_1m,sector_neutral,fwd_1m,dev,324,0.02475,5.261,0.00723,0.01151,0.01549,-0.491
rev_1m,sector_neutral,fwd_1m,val,48,0.00696,0.544,0.00172,0.00611,0.01386,-0.176
rev_1m,sector_neutral,fwd_1m,holdout,59,-0.02818,-2.412,-0.01071,-0.00639,0.00301,-0.81052
rev_1m,sector_neutral,fwd_1m,pre2020,354,0.0236,5.314,0.00638,0.01068,0.01425,-0.491
rev_1m,sector_neutral,fwd_1m,post2020,77,-0.02162,-1.974,-0.00605,-0.00174,0.01062,-0.81052
rev_1m,sector_neutral,fwd_3m,full,429,-0.00199,-0.491,-0.00396,0.00034,0.026,-2.43496
rev_1m,sector_neutral,fwd_3m,dev,324,0.00674,1.554,-0.00086,0.00342,0.02758,-1.451
rev_1m,sector_neutral,fwd_3m,val,48,-0.0199,-1.348,-0.01412,-0.00974,0.03165,-0.78148
rev_1m,sector_neutral,fwd_3m,holdout,57,-0.03652,-3.063,-0.01302,-0.00871,0.01229,-1.28979
rev_1m,sector_neutral,fwd_3m,pre2020,354,0.00516,1.246,-0.00137,0.00292,0.02442,-1.50707
rev_1m,sector_neutral,fwd_3m,post2020,75,-0.03574,-3.021,-0.01616,-0.01185,0.0335,-1.30276
rev_1m,sector_neutral,fwd_6m,full,426,-0.01312,-3.388,-0.01325,-0.00896,0.04726,-6.09411
rev_1m,sector_neutral,fwd_6m,dev,324,-0.00621,-1.479,-0.01067,-0.00638,0.05102,-4.85542
rev_1m,sector_neutral,fwd_6m,val,48,-0.02249,-1.648,-0.01286,-0.00847,0.07076,-0.8377
rev_1m,sector_neutral,fwd_6m,holdout,54,-0.04619,-4.086,-0.02912,-0.02484,0.00381,-1.66756
rev_1m,sector_neutral,fwd_6m,pre2020,354,-0.00672,-1.681,-0.00956,-0.00527,0.04555,-4.85542
rev_1m,sector_neutral,fwd_6m,post2020,72,-0.04454,-4.019,-0.0314,-0.02712,0.05565,-2.33923
lowvol_12m,raw,fwd_1m,full,425,0.04488,5.147,0.00094,0.00167,0.00959,-1.46575
lowvol_12m,raw,fwd_1m,dev,318,0.04321,4.257,0.00282,0.00354,0.01069,-1.40478
lowvol_12m,raw,fwd_1m,val,48,0.0226,0.875,-0.01429,-0.01354,0.00715,-1.1894
lowvol_12m,raw,fwd_1m,holdout,59,0.07203,3.189,0.0032,0.00393,0.00567,-0.73453
