model,window,train_start,train_end,test_start,test_end,n_test_months,oos_mean_ic
kitchen_sink_blend__ic_sign,9,2020-12,2022-11,2022-12,2023-05,6,0.0259
kitchen_sink_blend__ic_sign,10,2021-06,2023-05,2023-06,2023-11,6,-0.0367
kitchen_sink_blend__ic_sign,11,2021-12,2023-11,2023-12,2024-05,6,0.0173
kitchen_sink_blend__ic_sign,12,2022-06,2024-05,2024-06,2024-11,6,0.0318
kitchen_sink_blend__ic_sign,13,2022-12,2024-11,2024-12,2025-05,6,-0.0968
kitchen_sink_blend__ic_sign,14,2023-06,2025-05,2025-06,2025-11,6,0.1281
kitchen_sink_blend__ic_sign,15,2023-12,2025-11,2025-12,2026-05,6,-0.0233
kitchen_sink_blend__ic_weighted,0,2016-06,2018-05,2018-06,2018-11,6,-0.0972
kitchen_sink_blend__ic_weighted,1,2016-12,2018-11,2018-12,2019-05,6,0.0541
kitchen_sink_blend__ic_weighted,2,2017-06,2019-05,2019-06,2019-11,6,-0.0179
kitchen_sink_blend__ic_weighted,3,2017-12,2019-11,2019-12,2020-05,6,0.03
kitchen_sink_blend__ic_weighted,4,2018-06,2020-05,2020-06,2020-11,6,-0.1003
kitchen_sink_blend__ic_weighted,5,2018-12,2020-11,2020-12,2021-05,6,0.0726
kitchen_sink_blend__ic_weighted,6,2019-06,2021-05,2021-06,2021-11,6,-0.0424
kitchen_sink_blend__ic_weighted,7,2019-12,2021-11,2021-12,2022-05,6,-0.1349
kitchen_sink_blend__ic_weighted,8,2020-06,2022-05,2022-06,2022-11,6,-0.0044
kitchen_sink_blend__ic_weighted,9,2020-12,2022-11,2022-12,2023-05,6,0.0048
kitchen_sink_blend__ic_weighted,10,2021-06,2023-05,2023-06,2023-11,6,-0.038
kitchen_sink_blend__ic_weighted,11,2021-12,2023-11,2023-12,2024-05,6,0.0587
kitchen_sink_blend__ic_weighted,12,2022-06,2024-05,2024-06,2024-11,6,0.0305
kitchen_sink_blend__ic_weighted,13,2022-12,2024-11,2024-12,2025-05,6,-0.1015
kitchen_sink_blend__ic_weighted,14,2023-06,2025-05,2025-06,2025-11,6,0.0928
kitchen_sink_blend__ic_weighted,15,2023-12,2025-11,2025-12,2026-05,6,-0.0053
